article_name,article_name_encoded,article_id,Flesch-Kincaid,Gunning Fog,ARI,SMOG,Coleman-Liau,Readability Consensus
ASCII,ASCII,69,12.8,13.09,16.4,14.9,13.18,14.074000000000002
AT&T,AT%26T,70,9.2,10.97,11.3,12.3,10.33,10.82
ATLAS experiment,ATLAS_experiment,71,13.6,12.59,15.6,15.8,13.52,14.222
A Christmas Carol,A_Christmas_Carol,72,12.1,13.17,14.9,12.1,11.09,12.672
A Tale of a Tub,A_Tale_of_a_Tub,73,10.8,12.0,13.0,13.0,10.44,11.847999999999999
A Wrinkle in Time,A_Wrinkle_in_Time,74,9.5,10.62,11.6,11.5,10.5,10.744
A cappella,A_cappella,75,13.6,13.52,15.6,15.3,13.23,14.25
Aachen,Aachen,76,12.4,14.11,16.0,13.5,11.96,13.594
Aardvark,Aardvark,77,10.2,11.61,12.0,11.7,10.33,11.168000000000001
Aarhus,Aarhus,78,11.8,12.4,13.9,13.4,12.01,12.702
Abacá,Abac%C3%A1,79,7.8,10.33,10.3,10.6,9.57,9.72
Abacus,Abacus,80,10.2,10.87,12.1,12.0,10.44,11.122
Abadan,Abadan,81,9.4,10.88,11.1,11.9,10.15,10.686
Abbadid,Abbadid,82,10.8,12.49,12.8,12.6,10.39,11.816
Abbas I of Persia,Abbas_I_of_Persia,83,11.0,13.27,14.3,13.0,12.07,12.728
Abbasid,Abbasid,84,13.2,13.77,15.9,14.0,12.42,13.857999999999999
Abbey,Abbey,85,9.7,10.68,12.0,12.0,10.79,11.033999999999999
Abbey Theatre,Abbey_Theatre,86,11.1,12.36,13.3,13.2,10.68,12.128000000000002
Abbot,Abbot,87,12.1,13.82,14.7,13.7,10.68,13.0
Abel Tasman,Abel_Tasman,88,9.6,11.11,11.5,11.5,8.82,10.506
Aberdeen,Aberdeen,89,10.4,11.22,13.2,12.3,11.26,11.676
Aberration of light,Aberration_of_light,90,12.6,12.36,14.0,14.7,11.09,12.95
Aberystwyth,Aberystwyth,91,10.5,11.94,13.7,13.1,11.84,12.216
Abhidhamma Pitaka,Abhidhamma_Pitaka,92,10.3,11.14,12.1,12.9,11.6,11.608
Abidjan,Abidjan,93,9.7,10.41,11.9,12.0,12.35,11.272
Abkhazia,Abkhazia,94,14.3,13.94,17.7,15.4,14.74,15.216
Able Archer 83,Able_Archer_83,95,13.8,13.61,15.8,15.9,13.18,14.457999999999998
Abraham Goldfaden,Abraham_Goldfaden,96,12.4,13.29,15.9,13.5,11.67,13.351999999999999
Abraham Lincoln,Abraham_Lincoln,97,11.3,11.16,13.3,12.9,11.89,12.110000000000001
Absinthe,Absinthe,98,12.1,11.87,14.8,13.2,12.65,12.924000000000001
Absolute zero,Absolute_zero,99,12.7,13.57,15.1,15.0,11.96,13.666
Abstract art,Abstract_art,100,12.7,14.49,15.1,14.7,13.69,14.136
Abu Dhabi,Abu_Dhabi,101,9.9,11.21,12.1,12.1,10.73,11.208000000000002
Abuja,Abuja,102,11.1,12.09,13.3,13.8,12.3,12.517999999999997
Acceleration,Acceleration,103,12.9,12.41,14.0,14.8,11.84,13.190000000000001
Accountancy,Accountancy,104,13.9,14.08,16.6,15.6,13.81,14.797999999999998
Accra,Accra,105,9.6,11.76,12.4,12.4,11.31,11.494
Acetic acid,Acetic_acid,106,11.0,11.56,13.6,13.8,12.82,12.556000000000001
Acetone,Acetone,107,10.1,11.25,11.1,11.9,12.17,11.304
Achilles,Achilles,108,9.5,11.3,12.8,11.4,10.33,11.065999999999999
Achilles tendon,Achilles_tendon,109,10.2,11.7,13.0,12.6,12.7,12.040000000000001
