node,in_degree,out_degree,in_degree_centrality,out_degree_centrality,degree_centrality,pagerank,betweenness_centrality,closeness_centrality
21st century,27,54,0.006477927063339731,0.012955854126679461,0.019433781190019192,0.0003667021520526566,0.0020256185219199073,0.3594230422239976
3rd century,15,13,0.0035988483685220726,0.0031190019193857964,0.0067178502879078695,0.00019245100431812984,5.144813194116766e-05,0.3342723909946179
China,276,113,0.06621880998080613,0.027111324376199616,0.09333013435700575,0.0034596743583589305,0.014707445050280338,0.4706158574607728
Crusades,26,31,0.006238003838771593,0.007437619961612284,0.013675623800383877,0.0003915775302124791,0.0010593934065772843,0.36840782175658937
Domesday Book,8,14,0.0019193857965451055,0.0033589251439539347,0.00527831094049904,9.007942159808231e-05,8.771185227550833e-05,0.33692814245935016
Edward the Confessor,7,9,0.0016794625719769674,0.002159309021113244,0.003838771593090211,0.00012211725027698643,1.2936062273350723e-05,0.32838247765771844
First Crusade,10,11,0.0023992322456813818,0.00263915547024952,0.005038387715930902,0.00015007001287011557,6.245771786122564e-05,0.32428282125749724
Ghana,24,16,0.005758157389635317,0.003838771593090211,0.009596928982725527,0.00018004276467476578,0.00023492992272303962,0.4026749963410604
Leif Ericson,3,12,0.0007197696737044146,0.0028790786948176585,0.0035988483685220726,0.0003928807929517067,1.7683872379366266e-05,0.3062418861716959
Macbeth of Scotland,2,3,0.0004798464491362764,0.0007197696737044146,0.0011996161228406909,6.245569692533732e-05,4.495675792676149e-06,0.2611706552652601
Norman conquest of England,7,14,0.0016794625719769674,0.0033589251439539347,0.005038387715930902,0.00013838749404812068,5.4194887265774595e-05,0.3523235535127233
North America,299,115,0.07173704414587331,0.02759117082533589,0.09932821497120921,0.005679550684482747,0.016841117837960738,0.4646700175800631
Norway,81,53,0.019433781190019192,0.012715930902111323,0.032149712092130515,0.0021101953978665813,0.0030414268426202044,0.41444043051815765
Nottingham,5,13,0.0011996161228406909,0.0031190019193857964,0.004318618042226488,0.0001327950791941488,3.1317520802255846e-05,0.33094510568849217
William I of England,14,11,0.0033589251439539347,0.00263915547024952,0.005998080614203455,0.00016585221688898173,7.226340052043291e-05,0.35726026280719375
13th century,32,28,0.007677543186180422,0.0067178502879078695,0.01439539347408829,0.0003954294874444679,0.0007238568275475153,0.35809138697536486
18th century,82,64,0.01967370441458733,0.015355086372360844,0.03502879078694818,0.000869585327156439,0.004171036305991333,0.40038618855838964
20th century,232,105,0.05566218809980806,0.02519193857965451,0.08085412667946257,0.0025520692300248574,0.013468585489870158,0.4533662743794136
2nd century,15,14,0.0035988483685220726,0.0033589251439539347,0.006957773512476007,0.0001927403810787476,0.00011192562181807608,0.3422836960332799
6th century,22,22,0.00527831094049904,0.00527831094049904,0.01055662188099808,0.00032122070795365196,0.00010867369099404747,0.35071802845874134
8th century,21,17,0.005038387715930902,0.004078694817658349,0.009117082533589251,0.00029281100162008354,0.0001445916017565936,0.3485414824921238
Bologna,8,15,0.0019193857965451055,0.0035988483685220726,0.005518234165067178,9.28845776179664e-05,9.191757376458872e-05,0.36023304474612855
Dublin,23,19,0.005518234165067178,0.004558541266794626,0.010076775431861805,0.0004185303563501644,0.0007450895131344791,0.35898839399119675
Genghis Khan,13,22,0.0031190019193857964,0.00527831094049904,0.008397312859884836,0.0002006604590780571,6.868400585890899e-05,0.32898034015958877
Henry II of England,20,16,0.0047984644913627635,0.003838771593090211,0.008637236084452975,0.0002829684003209688,0.0001231124717424649,0.34127185393628545
Hungary,41,29,0.009836852207293665,0.006957773512476007,0.01679462571976967,0.0004096182716598557,0.0009765051522474954,0.38667739460700457
Iceland,53,40,0.012715930902111323,0.009596928982725527,0.02231285988483685,0.0011552177536874758,0.002098683961863173,0.41132310344775186
Iran,78,66,0.01871401151631478,0.01583493282149712,0.0345489443378119,0.0009006465541249485,0.0027237711783394455,0.4175214624508825
Ireland,114,61,0.027351247600767754,0.01463531669865643,0.041986564299424184,0.001397152696239728,0.005255465235438515,0.42013835798989935
Netherlands,112,79,0.026871401151631478,0.018953934740882916,0.04582533589251439,0.0014623175478612849,0.006191699220223724,0.45041818979474196
Portugal,93,48,0.02231285988483685,0.011516314779270634,0.03382917466410749,0.0008300553810048364,0.0020159230287302428,0.4299171032622411
Richard I of England,10,11,0.0023992322456813818,0.00263915547024952,0.005038387715930902,0.000210474240923004,7.005229246910406e-05,0.3320026072244835
Saladin,9,7,0.002159309021113244,0.0016794625719769674,0.003838771593090211,9.260709684429123e-05,9.652154404334511e-06,0.3225713006237259
Second Crusade,7,9,0.0016794625719769674,0.002159309021113244,0.003838771593090211,0.00011755379241185917,3.772933488973042e-05,0.3458441072843542
Serbia,28,30,0.0067178502879078695,0.007197696737044145,0.013915547024952015,0.00025745156896360275,0.00039904506059877486,0.37367457626650646
Sweden,83,61,0.019913627639155468,0.01463531669865643,0.0345489443378119,0.0010519000437741526,0.003479592266825174,0.41823574894194265
The Anarchy,6,5,0.0014395393474088292,0.0011996161228406909,0.00263915547024952,7.354914256223796e-05,0.00010722045066512866,0.31710732773051153
Thomas Becket,8,11,0.0019193857965451055,0.00263915547024952,0.004558541266794626,0.0001089259877134405,4.638686773945826e-05,0.3186634440450916
14th century,24,26,0.005758157389635317,0.006238003838771593,0.01199616122840691,0.0003826498726754047,0.0008114893481375462,0.37843822957895507
Asia,194,131,0.04654510556621881,0.0314299424184261,0.07797504798464491,0.0034835333159999823,0.010593350123728463,0.448474008550349
Astronomy,80,71,0.019193857965451054,0.017034548944337813,0.03622840690978887,0.0012441004374421627,0.003741038559631776,0.37250234267599575
Buddhism,53,37,0.012715930902111323,0.008877159309021113,0.021593090211132437,0.0007191728197356784,0.0021079942748238826,0.4183620532752249
Dante Alighieri,12,13,0.0028790786948176585,0.0031190019193857964,0.005998080614203455,0.0001263804570976705,5.027113994221989e-05,0.334191752752982
Europe,693,214,0.16626679462571978,0.05134357005758157,0.21761036468330133,0.01422350840269787,0.05664912612828279,0.5249474090231254
Francis of Assisi,5,10,0.0011996161228406909,0.0023992322456813818,0.0035988483685220726,6.690326419816192e-05,0.000319730174567713,0.27875837663398517
Islam,141,80,0.03382917466410749,0.019193857965451054,0.05302303262955854,0.0015391103143282778,0.006265184465278151,0.45735761386993334
John of England,7,15,0.0016794625719769674,0.0035988483685220726,0.00527831094049904,0.00018593579730053926,3.139797184507866e-05,0.29089442410835614
Magna Carta,15,22,0.0035988483685220726,0.00527831094049904,0.008877159309021113,0.00020774250277914735,0.0001961105410682043,0.343244849457886
Marco Polo,8,9,0.0019193857965451055,0.002159309021113244,0.004078694817658349,7.705107001296983e-05,0.0002579138997344617,0.3058137334242888
Medieval music,7,19,0.0016794625719769674,0.004558541266794626,0.006238003838771593,9.333708123661588e-05,8.926092089822818e-05,0.3026513717765864
Mysticism,14,14,0.0033589251439539347,0.0033589251439539347,0.0067178502879078695,0.00014178946225214096,7.881280289410961e-05,0.3314201465100546
Norse mythology,27,28,0.006477927063339731,0.0067178502879078695,0.013195777351247601,0.0007799724612027033,0.0009642015457354157,0.3649142714229594
Pope,30,26,0.007197696737044145,0.006238003838771593,0.013435700575815739,0.0004546719507165527,0.00039246311012023673,0.36752817803644183
Thailand,44,30,0.01055662188099808,0.007197696737044145,0.017754318618042227,0.0003254128524985352,0.0013902967379382858,0.40665446548298284
Thomas Aquinas,11,6,0.00263915547024952,0.0014395393474088292,0.004078694817658349,0.00010597654719263599,0.00012793524197324567,0.3379143537877945
Abacus,7,8,0.0016794625719769674,0.0019193857965451055,0.0035988483685220726,0.0001353248992557816,6.150969299535085e-05,0.3361106863919195
Black Death,20,21,0.0047984644913627635,0.005038387715930902,0.009836852207293665,0.0002099687705689851,0.0004786556040863867,0.3520549459751025
Christianity,198,77,0.04750479846449136,0.01847408829174664,0.065978886756238,0.003555192258745544,0.008482103931161531,0.45500423004555335
Edward III of England,14,16,0.0033589251439539347,0.003838771593090211,0.007197696737044145,0.00025324466282118424,4.788802718219508e-05,0.299769809379406
English peasants' revolt of 1381,2,3,0.0004798464491362764,0.0007197696737044146,0.0011996161228406909,4.163191415589523e-05,1.2397721468816975e-06,0.2809822619996001
Guinness,7,12,0.0016794625719769674,0.0028790786948176585,0.004558541266794626,0.00017858342110894053,0.0001045909493713609,0.31947179931094505
Hundred Years' War,14,18,0.0033589251439539347,0.004318618042226488,0.007677543186180422,0.00013754625654539333,0.000188595725068455,0.3258847829715427
Ibn Battuta,2,1,0.0004798464491362764,0.0002399232245681382,0.0007197696737044146,4.9443515323940544e-05,5.824987158760526e-07,0.2773630964519544
Italy,233,97,0.0559021113243762,0.023272552783109406,0.0791746641074856,0.0029009036329281047,0.010275174945792484,0.4709358229162702
Mathematical analysis,11,10,0.00263915547024952,0.0023992322456813818,0.005038387715930902,8.772074998711365e-05,0.00026425255999482116,0.31194240315515154
Niger,11,14,0.00263915547024952,0.0033589251439539347,0.005998080614203455,0.00017649632571473806,9.159359355600682e-05,0.3376123994505349
Ottoman Empire,72,60,0.01727447216890595,0.01439539347408829,0.03166986564299424,0.000669705816657808,0.0018586039264748343,0.38721779905302195
Renaissance,87,59,0.020873320537428023,0.014155470249520153,0.03502879078694818,0.0012596602211344956,0.002911861672557702,0.4038488618439495
Singapore,26,20,0.006238003838771593,0.0047984644913627635,0.011036468330134356,0.00014402314488622553,0.00021969172047945002,0.39300318082610725
15th Marine Expeditionary Unit,1,3,0.0002399232245681382,0.0007197696737044146,0.0009596928982725527,4.0027317781486965e-05,2.861875034058023e-07,0.258041018082459
Rwanda,17,22,0.004078694817658349,0.00527831094049904,0.00935700575815739,0.0002492663420765237,0.0005200803173269346,0.3429615973952867
United Kingdom,667,245,0.16002879078694818,0.05878119001919386,0.21880998080614203,0.013284699323093516,0.0668488787018732,0.5219804869676067
United States,1239,393,0.29726487523992323,0.0942898272552783,0.3915547024952015,0.030595095591618503,0.15751674641399782,0.5707235151381606
Ancient Egypt,99,66,0.02375239923224568,0.01583493282149712,0.0395873320537428,0.0011681373460438057,0.003618617243265436,0.3966414045844707
Art,89,69,0.0213531669865643,0.016554702495201534,0.03790786948176583,0.0017297228812509255,0.003195203252364574,0.3837496433274316
Aztec,21,17,0.005038387715930902,0.004078694817658349,0.009117082533589251,0.0002844021272432896,0.00014896044864436925,0.33720151214897237
Baghdad,22,18,0.00527831094049904,0.004318618042226488,0.009596928982725527,0.0002565941560867498,0.00013087624047753086,0.3539739917584605
Beijing,31,33,0.007437619961612284,0.00791746641074856,0.015355086372360844,0.0003015372611148414,0.0008842677391658255,0.36316048909787524
Christopher Columbus,43,42,0.010316698656429943,0.010076775431861805,0.020393474088291747,0.0006555600784618673,0.0008873585241397336,0.3962254397212398
Henry VII of England,16,18,0.003838771593090211,0.004318618042226488,0.008157389635316698,0.00036251202054090654,0.00010897963084597844,0.32423222322016576
Inca Empire,15,22,0.0035988483685220726,0.00527831094049904,0.008877159309021113,0.00022280603525388348,0.0001115345930937882,0.33317369225878507
Indian Ocean,66,58,0.01583493282149712,0.013915547024952015,0.029750479846449136,0.0010834061145366851,0.002443624660045629,0.3944579192517164
Jew,101,64,0.024232245681381957,0.015355086372360844,0.0395873320537428,0.0014162296043256223,0.0032372758562821506,0.4034176506732755
Joan of Arc,6,8,0.0014395393474088292,0.0019193857965451055,0.0033589251439539347,8.938338769212009e-05,0.00010671996340076347,0.33621945127708797
Korea,31,20,0.007437619961612284,0.0047984644913627635,0.012236084452975048,0.0003038792337224775,0.0005028004473578943,0.39671712841123374
Leonardo da Vinci,26,33,0.006238003838771593,0.00791746641074856,0.014155470249520153,0.000576104124190247,0.0005031028126454383,0.3416646364054657
Lithuania,13,18,0.0031190019193857964,0.004318618042226488,0.007437619961612284,0.00011044317031330591,6.494529893631663e-05,0.36520286794693185
Philosophy,133,87,0.03190978886756238,0.020873320537428023,0.052783109404990404,0.0016001076056936056,0.005682017477698264,0.39211327835041837
Plato,35,33,0.008397312859884836,0.00791746641074856,0.016314779270633396,0.00032618542269889384,0.0007718424839526298,0.3550626772521217
Pyramid,15,18,0.0035988483685220726,0.004318618042226488,0.00791746641074856,0.00027063841986684953,0.00014748623802006894,0.35424553675725234
Spanish Inquisition,6,19,0.0014395393474088292,0.004558541266794626,0.005998080614203455,0.00015794557563811784,0.00013861669759706577,0.3390722556283009
Timur,6,9,0.0014395393474088292,0.002159309021113244,0.0035988483685220726,5.8477244951158155e-05,1.6013124171049955e-05,0.32043243155251233
Vasco da Gama,5,8,0.0011996161228406909,0.0019193857965451055,0.0031190019193857964,8.591682353876361e-05,9.664769414499253e-05,0.3160703199662396
Wars of the Roses,11,19,0.00263915547024952,0.004558541266794626,0.007197696737044145,0.00015316162588483234,0.0002583273584155748,0.34217097293233034
Zheng He,3,3,0.0007197696737044146,0.0007197696737044146,0.0014395393474088292,5.783583752206452e-05,3.7884910850950917e-06,0.3029381614721251
16 Cygni,1,4,0.0002399232245681382,0.0009596928982725527,0.0011996161228406909,3.7955031296006576e-05,1.9171404794338136e-07,0.20693132031647501
Binary star,10,10,0.0023992322456813818,0.0023992322456813818,0.0047984644913627635,0.0001318261689526381,3.596867353199513e-05,0.2597830127038433
Day,14,16,0.0033589251439539347,0.003838771593090211,0.007197696737044145,0.00015238626548365027,0.0003168987510374338,0.36098398655746416
Sun,126,74,0.030230326295585412,0.017754318618042227,0.04798464491362764,0.0021131815532807177,0.007866471040989165,0.41205717204402975
16 Cygni Bb,1,9,0.0002399232245681382,0.002159309021113244,0.0023992322456813818,3.81427004511986e-05,0.00024055260291114573,0.26097385477149665
Earth,256,142,0.061420345489443376,0.034069097888675626,0.095489443378119,0.00808928407468726,0.024678362009414544,0.4651901317703251
Jupiter,25,30,0.005998080614203455,0.007197696737044145,0.013195777351247601,0.0003569372673511864,0.00036599142986425744,0.3355679158042862
Season,19,20,0.004558541266794626,0.0047984644913627635,0.00935700575815739,0.00032453550290217177,0.00035544244973391485,0.36088994765856935
Water,164,98,0.03934740882917466,0.023512476007677544,0.0628598848368522,0.002661741918487805,0.010356293776770446,0.4410026143077339
17th century,50,53,0.01199616122840691,0.012715930902111323,0.024712092130518233,0.0005615573312299076,0.0015961112076992442,0.37438146448392795
7th century,21,20,0.005038387715930902,0.0047984644913627635,0.009836852207293665,0.0002913380813203129,0.0002197150860358509,0.3541549754781495
Anglicanism,15,26,0.0035988483685220726,0.006238003838771593,0.009836852207293665,0.0002520449190478646,0.0011598973635635495,0.4038488618439495
Brazil,99,66,0.02375239923224568,0.01583493282149712,0.0395873320537428,0.001322086916804207,0.003662288781549797,0.42599514526815135
British East India Company,31,28,0.007437619961612284,0.0067178502879078695,0.014155470249520153,0.0003503524817951409,0.0005197563407539214,0.35855479572393106
"Charles V, Holy Roman Emperor",20,19,0.0047984644913627635,0.004558541266794626,0.00935700575815739,0.00022044105679975415,0.0003910448517264797,0.33317369225878507
Elizabeth I of England,27,26,0.006477927063339731,0.006238003838771593,0.012715930902111323,0.00034864442870267075,0.00027246760979257416,0.3312880539845424
Fashion,15,20,0.0035988483685220726,0.0047984644913627635,0.008397312859884836,0.00019118036802924366,0.00012609121211734745,0.3523534240980148
Francis Drake,6,8,0.0014395393474088292,0.0019193857965451055,0.0033589251439539347,8.90409802842276e-05,0.0002589740468482963,0.34234008543954564
Funchal,3,5,0.0007197696737044146,0.0011996161228406909,0.0019193857965451055,5.43390589563859e-05,3.051262671584624e-06,0.32557842829894906
Galileo Galilei,36,43,0.008637236084452975,0.010316698656429943,0.018953934740882916,0.00043131615272113007,0.0006619495599643736,0.3475504797822449
Heliocentrism,11,22,0.00263915547024952,0.00527831094049904,0.00791746641074856,0.00011009437087268961,7.609072271708176e-05,0.32514541051760953
Henry VIII of England,32,32,0.007677543186180422,0.007677543186180422,0.015355086372360844,0.0005278327197802424,0.0013737624201563092,0.36798376458615945
Hernán Cortés,9,12,0.002159309021113244,0.0028790786948176585,0.005038387715930902,0.00010288763231985166,0.00025639148027194663,0.31713152516109
Holy Roman Empire,53,47,0.012715930902111323,0.011276391554702494,0.02399232245681382,0.0007571556018012159,0.0020337359178594387,0.41095704906912733
Italian Renaissance,23,29,0.005518234165067178,0.006957773512476007,0.012476007677543186,0.0003832177252275941,0.00046820013365496535,0.3610780744775052
Ivan IV of Russia,2,6,0.0004798464491362764,0.0014395393474088292,0.0019193857965451055,4.211108307715446e-05,4.219248245330266e-06,0.2986067421494528
Jacques Cartier,3,6,0.0007197696737044146,0.0014395393474088292,0.002159309021113244,5.855370814779047e-05,7.086464429975575e-06,0.3220713451050902
John Calvin,7,11,0.0016794625719769674,0.00263915547024952,0.004318618042226488,9.012803530736803e-05,5.5643289178958925e-05,0.32583368382877964
Maize,36,32,0.008637236084452975,0.007677543186180422,0.016314779270633396,0.0006971148145898479,0.00081297713519075,0.3828658348444113
Martin Luther,18,19,0.004318618042226488,0.004558541266794626,0.008877159309021113,0.0002246423719399931,0.00014262568880462923,0.35196550112094216
Mathematics,116,70,0.02783109404990403,0.01679462571976967,0.0446257197696737,0.002391923124605924,0.0057322488113739365,0.39266899444785375
Ming Dynasty,12,15,0.0028790786948176585,0.0035988483685220726,0.006477927063339731,0.0001957514664648812,0.00020369412478283845,0.34048899207243033
Mona Lisa,8,13,0.0019193857965451055,0.0031190019193857964,0.005038387715930902,0.0002213262525525564,5.814803440595176e-05,0.31895691766969186
Nicolaus Copernicus,16,18,0.003838771593090211,0.004318618042226488,0.008157389635316698,0.00015114470944050984,0.0001250701263591161,0.3445538581691332
Opera,39,31,0.00935700575815739,0.007437619961612284,0.01679462571976967,0.00046295734904455005,0.002031587718747853,0.3665880424482742
Pacific Ocean,137,83,0.03286948176583493,0.019913627639155468,0.052783109404990404,0.0028338297062806455,0.006961384707664101,0.4343200582334711
Philip II of Spain,12,11,0.0028790786948176585,0.00263915547024952,0.005518234165067178,0.00010351103333377403,7.371654042986573e-05,0.3354595719780518
Roman Catholic Church,119,73,0.028550863723608443,0.01751439539347409,0.046065259117082535,0.0017375123002997565,0.004331829620387001,0.39755200279664094
Science,129,56,0.030950095969289826,0.013435700575815739,0.04438579654510556,0.003765919319718361,0.0036606105325157423,0.4005405394406404
Ship,25,27,0.005998080614203455,0.006477927063339731,0.012476007677543186,0.0003578984664241176,0.00045796508782834785,0.370080911597158
Spanish Armada,12,17,0.0028790786948176585,0.004078694817658349,0.006957773512476007,0.00016007358823859694,0.0001229969436136138,0.3402659765217033
Spanish conquest of the Inca Empire,5,7,0.0011996161228406909,0.0016794625719769674,0.0028790786948176585,9.180806897571335e-05,5.6025936059306155e-06,0.3175677112582016
Suleiman the Magnificent,2,7,0.0004798464491362764,0.0016794625719769674,0.002159309021113244,5.7177059596821386e-05,2.4015873238432474e-06,0.2927178924662688
Textile,20,12,0.0047984644913627635,0.0028790786948176585,0.007677543186180422,0.00016287089877350082,0.00043320192972302803,0.34974405766524314
Thomas More,6,3,0.0014395393474088292,0.0007197696737044146,0.002159309021113244,6.595231371267497e-05,1.0408989338896754e-05,0.293254913719735
Watch,5,12,0.0011996161228406909,0.0028790786948176585,0.004078694817658349,0.00015228343309508848,2.994184145469456e-05,0.31255235295450734
William Shakespeare,69,26,0.016554702495201534,0.006238003838771593,0.022792706333973126,0.000957764394380897,0.0014411854907775336,0.39393446798446297
1755 Lisbon earthquake,2,8,0.0004798464491362764,0.0019193857965451055,0.0023992322456813818,8.222260795897696e-05,3.97391850834869e-06,0.28048921085483464
2004 Indian Ocean earthquake,14,23,0.0033589251439539347,0.005518234165067178,0.008877159309021113,0.00021776043606416983,0.00042083618643492745,0.32077868456592196
Atlantic Ocean,169,103,0.040547024952015356,0.024712092130518233,0.06525911708253358,0.004294065377232746,0.010515503469615144,0.4548050598857611
Geology,60,40,0.01439539347408829,0.009596928982725527,0.02399232245681382,0.0007852430330923463,0.0013717240169850336,0.38223200931077755
The Holocaust,29,39,0.006957773512476007,0.00935700575815739,0.016314779270633396,0.001139719927653637,0.0008549796964527596,0.3715366205288829
Tsunami,29,34,0.006957773512476007,0.008157389635316698,0.015115163147792706,0.0003654329526709361,0.0008758166817305985,0.3563107542212007
4th century,20,18,0.0047984644913627635,0.004318618042226488,0.009117082533589251,0.00022486636977957182,0.00011097223897128401,0.3439265671330755
Ancient Rome,112,88,0.026871401151631478,0.02111324376199616,0.04798464491362764,0.0013565141486222587,0.004927997892458474,0.4060584892267791
Apricot,5,16,0.0011996161228406909,0.003838771593090211,0.005038387715930902,0.00010781402521300456,5.543897398874732e-05,0.2859901346845641
Bacteria,70,47,0.01679462571976967,0.011276391554702494,0.028071017274472167,0.0007009066653735679,0.0018154121281899565,0.3662649719957773
Banknote,10,15,0.0023992322456813818,0.0035988483685220726,0.005998080614203455,0.00013864465272922044,4.296011972661235e-05,0.33785941283115883
Bible,76,30,0.018234165067178502,0.007197696737044145,0.025431861804222647,0.0009263052003216978,0.001874045886625726,0.3777159535795769
Blaise Pascal,15,16,0.0035988483685220726,0.003838771593090211,0.007437619961612284,0.00013004364102012803,0.0001637392018153508,0.3496852029647526
Canada,230,92,0.05518234165067178,0.022072936660268713,0.07725527831094049,0.00296735570528611,0.01219658842223146,0.4584170127107969
Charles I of England,16,22,0.003838771593090211,0.00527831094049904,0.009117082533589251,0.00023273105276958053,0.0001391676348457197,0.3203336393738311
Charles II of England,19,17,0.004558541266794626,0.004078694817658349,0.008637236084452975,0.00022419491535492067,0.00028464651342626347,0.3617065828752032
Constitutional monarchy,38,28,0.009117082533589251,0.0067178502879078695,0.01583493282149712,0.0004006267283245676,0.000664975847116902,0.3956219549962955
Henry Purcell,4,6,0.0009596928982725527,0.0014395393474088292,0.0023992322456813818,7.524175374564929e-05,0.0001021864697312548,0.358926387186811
Isaac Newton,62,51,0.014875239923224568,0.012236084452975048,0.027111324376199616,0.0007256864374565792,0.0017741150472468904,0.35901940542813443
Japan,287,111,0.06885796545105566,0.02663147792706334,0.095489443378119,0.003550338406744351,0.01560194790520983,0.47502670445034684
