node,in_degree,out_degree,in_degree_centrality,out_degree_centrality,degree_centrality,pagerank,betweenness_centrality,closeness_centrality
1 Ceres,6,14,0.0014395393474088292,0.0033589251439539347,0.0047984644913627635,7.385863087281419e-05,0.0002932707781358656,0.33581194547802884
3 Juno,2,4,0.0004798464491362764,0.0009596928982725527,0.0014395393474088292,4.3116847237059554e-05,1.4282949033872846e-06,0.2644276030563138
Asteroid,36,22,0.008637236084452975,0.00527831094049904,0.013915547024952015,0.0004017190760270269,0.0006698618599391097,0.34801613106984464
Carl Friedrich Gauss,16,20,0.003838771593090211,0.0047984644913627635,0.008637236084452975,0.00024035894933796583,0.0004257094618225473,0.35172720355755627
Cornell University,19,25,0.004558541266794626,0.005998080614203455,0.01055662188099808,0.00021063445534528488,0.00032886244544181356,0.3207291740419883
Eris (dwarf planet),3,4,0.0007197696737044146,0.0009596928982725527,0.0016794625719769674,5.4782107066820394e-05,3.8971088162763065e-06,0.26800855337822177
Florida,82,55,0.01967370441458733,0.013195777351247601,0.03286948176583493,0.0013792221574581078,0.003880655018787662,0.40933799243928737
Fresh water,28,12,0.0067178502879078695,0.0028790786948176585,0.009596928982725527,0.0005752547034377905,0.00026298438003771773,0.3439834991918626
Germany,363,155,0.08709213051823417,0.03718809980806142,0.12428023032629558,0.00589159573070321,0.025572877823599058,0.4903844999688595
Palladium,4,10,0.0009596928982725527,0.0023992322456813818,0.0033589251439539347,7.793344210505053e-05,2.3650954131824207e-05,0.2681641913302416
Paris,106,72,0.025431861804222647,0.01727447216890595,0.0427063339731286,0.0012252104821123908,0.006995624274580068,0.41937524089163314
Planet,53,49,0.012715930902111323,0.011756238003838772,0.024472168905950095,0.0012427249209375883,0.003135771330286276,0.3532819310809321
Roman mythology,24,12,0.005758157389635317,0.0028790786948176585,0.008637236084452975,0.0005787404358536975,0.00013871768158618095,0.34262231139621474
Solar System,76,51,0.018234165067178502,0.012236084452975048,0.03047024952015355,0.0021009203078198786,0.003223348207551349,0.3622109671636818
Venus,25,33,0.005998080614203455,0.00791746641074856,0.013915547024952015,0.0003429310505955135,0.001047775863198132,0.3803430618867104
10th century,31,26,0.007437619961612284,0.006238003838771593,0.013675623800383877,0.00037622061765281087,0.00045096704710578914,0.36817936190964606
11th century,24,28,0.005758157389635317,0.0067178502879078695,0.012476007677543186,0.0003519070940638109,0.0005039165729431041,0.3507772313669889
12th century,38,33,0.009117082533589251,0.00791746641074856,0.017034548944337813,0.0004417920203954037,0.0005191453677716104,0.3594852207625711
1st century,19,19,0.004558541266794626,0.004558541266794626,0.009117082533589251,0.00019701708228626256,0.00012779931442330177,0.343244849457886
5th century,31,31,0.007437619961612284,0.007437619961612284,0.014875239923224568,0.00037763473773376867,0.00033570708954043277,0.37696223466993967
9th century,28,31,0.0067178502879078695,0.007437619961612284,0.014155470249520153,0.0002881230684316401,0.000247318585780988,0.3624636871826343
Algeria,19,26,0.004558541266794626,0.006238003838771593,0.010796545105566218,0.00026846974551626685,0.0004941410858276804,0.3565247179579724
Bosnia and Herzegovina,16,17,0.003838771593090211,0.004078694817658349,0.00791746641074856,0.00013209530135019264,0.00024971631647765136,0.3651066183990235
Byzantine Empire,55,52,0.013195777351247601,0.012476007677543186,0.025671785028790785,0.0006059143600577709,0.0011930571725563331,0.3848868899088798
Calculus,23,28,0.005518234165067178,0.0067178502879078695,0.012236084452975048,0.000288644835984063,0.0008497978655767215,0.36465812382522456
Chinese language,57,39,0.013675623800383877,0.00935700575815739,0.023032629558541268,0.0005275275621982439,0.0022522687245549286,0.41710243248053835
Dark Ages,24,27,0.005758157389635317,0.006477927063339731,0.012236084452975048,0.0003295434605779011,0.0003351615068775198,0.38072633173654125
England,561,238,0.13459692898272552,0.057101727447216886,0.1916986564299424,0.011836970389546531,0.05594966768436034,0.4838757290995558
France,446,131,0.10700575815738964,0.0314299424184261,0.13843570057581572,0.005478446071787453,0.02661263597084676,0.4982626348442734
India,296,111,0.0710172744721689,0.02663147792706334,0.09764875239923224,0.003706490014107171,0.01877157332978333,0.4754070735799685
Lion,49,36,0.011756238003838772,0.008637236084452975,0.020393474088291747,0.002347668743481547,0.0020420115275421183,0.39333793651675986
Maya civilization,17,23,0.004078694817658349,0.005518234165067178,0.009596928982725527,0.0002108414503916968,0.0002926767853508819,0.33865780942275786
Monarchy,39,44,0.00935700575815739,0.01055662188099808,0.019913627639155468,0.0004381490905871618,0.0007356378187383519,0.3768596878161121
Myanmar,28,29,0.0067178502879078695,0.006957773512476007,0.013675623800383877,0.00017369585269971197,0.0004912012986259051,0.35594455611819836
Philippines,54,46,0.012955854126679461,0.011036468330134356,0.02399232245681382,0.000511455057346978,0.002281719911125732,0.413450918945094
Poland,65,48,0.015595009596928982,0.011516314779270634,0.027111324376199616,0.0006920273996050662,0.0018394137469353743,0.4238230305156113
Quetzalcoatl,7,9,0.0016794625719769674,0.002159309021113244,0.003838771593090211,0.00010622504925821726,1.786051687489913e-05,0.30833211938838817
Scotland,156,99,0.03742802303262956,0.02375239923224568,0.06118042226487524,0.002288466292368471,0.009832370425271164,0.4261698766648979
Time,41,43,0.009836852207293665,0.010316698656429943,0.02015355086372361,0.0005499612913211934,0.0007358887141294086,0.36060812470595094
Viking,61,47,0.01463531669865643,0.011276391554702494,0.025911708253358923,0.0036688357908921192,0.0015506349071804924,0.3936732629758534
15th century,48,46,0.011516314779270634,0.011036468330134356,0.02255278310940499,0.0005123096987200582,0.0012344681346117237,0.392187282932536
16th century,65,70,0.015595009596928982,0.01679462571976967,0.03238963531669865,0.0007235602398318097,0.002568114045670722,0.38118028407191457
19th century,176,134,0.04222648752399232,0.032149712092130515,0.07437619961612284,0.001738196669753379,0.014540733299127731,0.43391194792608945
1st century BC,26,24,0.006238003838771593,0.005758157389635317,0.01199616122840691,0.0002437870066903419,0.00015884415941492923,0.3532819310809321
