node,in_degree,out_degree,in_degree_centrality,out_degree_centrality,degree_centrality,pagerank,betweenness_centrality,closeness_centrality,entropy
Áedán mac Gabráin,0,11,0.0,0.0023959921585711176,0.0023959921585711176,3.2710390395592254e-05,0.0,0.0,0.0
Bede,27,12,0.0058810716619472885,0.002613809627532128,0.008494881289479417,0.00021938161316650256,0.00013626811145413365,0.355164947082795,2.475218247897519
Columba,13,10,0.0028316270964931388,0.0021781746896101066,0.005009801786103245,0.00012116881897593145,4.066205964367166e-05,0.331739557371601,2.2841591278514217
Dál Riata,14,18,0.0030494445654541498,0.003920714441298192,0.006970159006752342,0.000105560154678038,5.4171606178369734e-05,0.3129365973646916,1.0
Great Britain,180,35,0.039207144412981926,0.007623611413635374,0.0468307558266173,0.0015061292462843427,0.002782443003433381,0.4536634624894419,3.687020498608555
Ireland,319,71,0.06948377259856241,0.015465040296231759,0.08494881289479417,0.001899965414851622,0.005533242576356465,0.45815922653213004,5.130664999588529
Isle of Man,49,48,0.010673055979089524,0.010455238510128513,0.021128294489218036,0.00046032088563309313,0.0010435503033116961,0.4213394709616109,4.346589385293128
Monarchy,87,113,0.01895011979960793,0.024613373992594206,0.04356349379220214,0.0008133221072287704,0.001651578670029934,0.41019991692561203,4.99473313626627
Orkney,26,35,0.0056632541929862775,0.007623611413635374,0.013286865606621652,0.00028994588516574057,0.0003772774053451422,0.37093854226890177,3.505591996890547
Picts,20,24,0.004356349379220213,0.005227619255064256,0.00958396863428447,0.00019759121101826146,0.00027377732631355165,0.3589812292592925,3.851409765557392
Scotland,338,112,0.07362230450882161,0.024395556523633198,0.0980178610324548,0.0021425304277849183,0.008171872572316928,0.4628385754935766,5.84770820017632
Wales,168,57,0.036593334785449794,0.012415595730777608,0.0490089305162274,0.001099763207428743,0.0028156933004808197,0.4233660783513069,4.65362427689374
Åland,0,19,0.0,0.004138531910259203,0.004138531910259203,3.2710390395592254e-05,0.0,0.0,1.584962500721156
20th century,306,93,0.06665214550206927,0.020257024613373992,0.08690917011544326,0.0023615390664036124,0.008161143108855875,0.4698707189257755,5.397573837617549
Baltic Sea,57,54,0.012415595730777608,0.011762143323894577,0.024177739054672187,0.0006497932466591777,0.0005842265314215086,0.4054757860609478,3.8882548884743273
Crimean War,31,25,0.006752341537791331,0.005445436724025267,0.012197778261816599,0.0002201292664638352,0.0005410140604420206,0.367631379361926,3.2953570516174406
Currency,291,22,0.06338488346765411,0.004791984317142235,0.06817686778479634,0.0032371559196565525,0.0015919554935457823,0.4763749659716881,3.998749617502272
Euro,97,50,0.021128294489218036,0.010890873448050535,0.03201916793726857,0.0012495337101871686,0.0005560938403325305,0.42612519067647137,4.290016909003992
European Union,248,133,0.054018732302330646,0.028969723371814422,0.08298845567414508,0.002318582455038707,0.004616447588348658,0.47146793088751326,5.518329839512235
Finland,155,73,0.03376170768895666,0.01590067523415378,0.04966238292311043,0.001009621435681574,0.0020607625711095913,0.43665432866399345,4.754369737560063
League of Nations,60,77,0.013069048137660641,0.016771945109997823,0.029840993247658463,0.0005769703027683626,0.0008825294102406625,0.4023745646642619,4.84211938101692
List of countries by system of government,246,207,0.053583097364408624,0.04508821607492921,0.09867131343933784,0.0028333266533963103,0.004448415249437028,0.4662331336514189,5.271024045150353
Nationality,27,16,0.0058810716619472885,0.003485079503376171,0.00936615116532346,0.00022617861790487603,6.633717191128596e-05,0.33736350505314217,3.152774256716439
Parliamentary system,60,75,0.013069048137660641,0.0163363101720758,0.02940535830973644,0.000721430277649281,0.0011606341956913024,0.4110472090755258,4.36932815786577
Police,35,62,0.007623611413635374,0.013504683075582662,0.021128294489218036,0.0002528236285437583,0.0003846063278767423,0.34146603051745594,4.003965475413019
Russia,520,105,0.11326508385972556,0.02287083424090612,0.13613591810063166,0.003496131617966406,0.009509410549444387,0.5018652053789451,5.8562652070819405
Stockholm,43,20,0.00936615116532346,0.004356349379220213,0.013722500544543673,0.00037376071739375497,0.00029427323920716396,0.38282123394579953,2.7008257945180874
Sweden,293,96,0.06382051840557613,0.020910477020257025,0.08473099542583315,0.0020564513148380813,0.005555022167778463,0.47632539005681956,4.928097641203869
Time zone,351,39,0.07645393160531475,0.008494881289479417,0.08494881289479417,0.0034658653495891,0.0027020973481750987,0.48002209470959406,4.319369261084603
Tourism,147,63,0.03201916793726857,0.013722500544543673,0.04574166848181224,0.0010260527101171202,0.0029590114945308565,0.43220119670028134,4.936996425836456
United Kingdom,972,168,0.2117185798301024,0.036593334785449794,0.2483119146155522,0.006234853214871949,0.04238444878433579,0.5414658314274198,6.253007881306428
