,source,target,num_games,min_path_length,max_path_length,mean_path_length,median_path_length,optimal_path_length
0,1 Ceres,Indian Ocean,1,5,5,5.0,5.0,3.0
1,1 Ceres,John Locke,2,5,7,6.0,6.0,3.0
2,1 Ceres,London,2,5,9,7.0,7.0,2.0
3,1 Ceres,"Miami, Florida",1,3,3,3.0,3.0,2.0
4,1 Ceres,Sputnik 2,1,8,8,8.0,8.0,4.0
5,10th century,11th century,3,2,2,2.0,2.0,1.0
6,10th century,Banknote,1,5,5,5.0,5.0,2.0
7,10th century,Country,1,3,3,3.0,3.0,2.0
8,10th century,Harlem Globetrotters,2,4,5,4.5,4.5,3.0
9,10th century,History of democracy,1,10,10,10.0,10.0,3.0
10,10th century,Marco Polo,1,5,5,5.0,5.0,3.0
11,10th century,Soviet Union,1,3,3,3.0,3.0,2.0
12,11th century,Art,1,3,3,3.0,3.0,2.0
13,11th century,Dimetrodon,1,9,9,9.0,9.0,3.0
14,11th century,Education in the United States,1,5,5,5.0,5.0,3.0
15,11th century,Ho Chi Minh,1,5,5,5.0,5.0,3.0
16,11th century,Hurricane Alex (2004),1,7,7,7.0,7.0,4.0
17,11th century,John Adams,2,5,5,5.0,5.0,3.0
18,11th century,Lhasa,1,4,4,4.0,4.0,3.0
19,11th century,Nintendo Entertainment System,1,17,17,17.0,17.0,3.0
20,11th century,Plum,1,8,8,8.0,8.0,3.0
21,11th century,Taiwan,3,5,5,5.0,5.0,2.0
22,11th century,Warsaw,1,5,5,5.0,5.0,3.0
23,12th century,Belfast,1,3,3,3.0,3.0,2.0
24,12th century,Edinburgh,1,4,4,4.0,4.0,3.0
25,12th century,Flat Earth,1,10,10,10.0,10.0,4.0
26,12th century,Geography of Ireland,1,7,7,7.0,7.0,3.0
27,12th century,Guitar,4,4,8,6.0,6.0,3.0
28,12th century,Islam,1,3,3,3.0,3.0,2.0
29,12th century,Katana,1,17,17,17.0,17.0,3.0
30,12th century,Mexico,1,4,4,4.0,4.0,2.0
31,12th century,Suleiman the Magnificent,1,3,3,3.0,3.0,2.0
32,12th century,University of Chicago,1,8,8,8.0,8.0,3.0
33,12th century,Zimbabwe,6,4,12,7.0,6.5,3.0
34,13th century,Bison,2,5,7,6.0,6.0,3.0
35,13th century,Guernsey,1,9,9,9.0,9.0,2.0
36,13th century,Lothal,1,5,5,5.0,5.0,3.0
37,13th century,Neighbours,1,8,8,8.0,8.0,4.0
38,13th century,Olive oil,1,6,6,6.0,6.0,3.0
39,14th century,African slave trade,3,5,9,7.333333333333333,8.0,3.0
40,14th century,Elizabeth I of England,5,4,16,7.2,6.0,2.0
41,14th century,Fire,1,4,4,4.0,4.0,3.0
42,14th century,Greece,1,4,4,4.0,4.0,2.0
43,14th century,Henry David Thoreau,1,27,27,27.0,27.0,3.0
44,14th century,John F. Kennedy,2,6,7,6.5,6.5,3.0
45,14th century,Rainbow,27,4,16,7.444444444444445,7.0,3.0
46,14th century,Sodium,2,6,6,6.0,6.0,3.0
47,15th Marine Expeditionary Unit,Cheetah,1,4,4,4.0,4.0,3.0
48,15th Marine Expeditionary Unit,Ireland,1,3,3,3.0,3.0,2.0
49,15th Marine Expeditionary Unit,Multiple sequence alignment,1,7,7,7.0,7.0,4.0
50,15th Marine Expeditionary Unit,Planet,1,6,6,6.0,6.0,3.0
51,15th Marine Expeditionary Unit,Republic of Ireland,1,3,3,3.0,3.0,2.0
52,15th century,Anglican Church of Australia,1,6,6,6.0,6.0,3.0
53,15th century,Arithmetic,2,6,6,6.0,6.0,3.0
54,15th century,Falcon,1,7,7,7.0,7.0,3.0
55,15th century,Hurricane Floyd,1,9,9,9.0,9.0,3.0
56,15th century,Sulfuric acid,6,6,23,11.0,9.5,3.0
57,15th century,The Last Supper (Leonardo),1,3,3,3.0,3.0,2.0
58,15th century,Windows Vista,16,5,17,7.625,6.0,3.0
59,16 Cygni,HIV,3,9,13,10.666666666666666,10.0,3.0
60,16 Cygni,Hurricane Andrew,1,6,6,6.0,6.0,4.0
61,16 Cygni,Saudi Arabia,2,5,8,6.5,6.5,3.0
62,16 Cygni,TeX,1,8,8,8.0,8.0,5.0
63,16 Cygni Bb,16 Cygni,1,2,2,2.0,2.0,1.0
64,16 Cygni Bb,Ammonite,2,10,18,14.0,14.0,3.0
65,16 Cygni Bb,Astrology,1,4,4,4.0,4.0,2.0
66,16 Cygni Bb,Attention-deficit hyperactivity disorder,3,6,17,10.0,7.0,3.0
67,16 Cygni Bb,Corinthian War,1,7,7,7.0,7.0,3.0
68,16 Cygni Bb,Hippocrates,2,7,11,9.0,9.0,3.0
69,16 Cygni Bb,Jew,2,6,8,7.0,7.0,3.0
70,16 Cygni Bb,Mexico,1,4,4,4.0,4.0,2.0
71,16 Cygni Bb,Persian Gulf,1,7,7,7.0,7.0,3.0
72,16 Cygni Bb,United States Constitution,1,4,4,4.0,4.0,3.0
73,16 Cygni Bb,Utilitarianism,1,6,6,6.0,6.0,3.0
74,16th century,1st century,1,2,2,2.0,2.0,1.0
75,16th century,Able Archer 83,1,5,5,5.0,5.0,3.0
76,16th century,Adolf Hitler,1,5,5,5.0,5.0,2.0
77,16th century,Clock,1,3,3,3.0,3.0,2.0
78,16th century,Domesday Book,1,6,6,6.0,6.0,2.0
79,16th century,Football,2,4,5,4.5,4.5,2.0
80,16th century,"Houston, Texas",1,6,6,6.0,6.0,2.0
81,16th century,Ike Altgens,1,6,6,6.0,6.0,4.0
82,16th century,Political integration of India,1,5,5,5.0,5.0,4.0
83,16th century,South Ossetia,1,5,5,5.0,5.0,3.0
84,16th century,Trinity,3,3,6,4.333333333333333,4.0,2.0
85,16th century,Victoria of the United Kingdom,1,7,7,7.0,7.0,2.0
86,1755 Lisbon earthquake,8th century,1,8,8,8.0,8.0,3.0
87,1755 Lisbon earthquake,Basketball,1,5,5,5.0,5.0,2.0
88,1755 Lisbon earthquake,Quantum mechanics,3,4,9,6.0,5.0,2.0
89,1755 Lisbon earthquake,Whale shark,1,17,17,17.0,17.0,3.0
90,17th century,Attack on Pearl Harbor,1,4,4,4.0,4.0,2.0
91,17th century,Edward VI of England,1,3,3,3.0,3.0,2.0
92,17th century,Jackie Robinson,2,9,9,9.0,9.0,3.0
93,17th century,Lhasa,1,4,4,4.0,4.0,3.0
94,17th century,Monarchy,1,3,3,3.0,3.0,2.0
95,17th century,Saturn,3,4,6,5.0,5.0,3.0
96,1896 Summer Olympics,Cairo,1,5,5,5.0,5.0,2.0
97,1896 Summer Olympics,Leonardo da Vinci,1,5,5,5.0,5.0,2.0
98,1896 Summer Olympics,Niger River,1,6,6,6.0,6.0,3.0
99,1896 Summer Olympics,Planet,3,4,12,7.333333333333333,6.0,3.0
100,18th century,Capitalism,1,3,3,3.0,3.0,2.0
101,18th century,Fencing,1,8,8,8.0,8.0,3.0
102,18th century,Language,1,4,4,4.0,4.0,2.0
103,18th century,Malcolm X,2,6,12,9.0,9.0,3.0
104,18th century,Minnesota,2,4,5,4.5,4.5,2.0
105,18th century,"Perth, Western Australia",1,5,5,5.0,5.0,2.0
106,18th century,Sumer,1,4,4,4.0,4.0,2.0
107,1928 Okeechobee Hurricane,Adolf Hitler,1,4,4,4.0,4.0,2.0
108,1928 Okeechobee Hurricane,Colombia,1,3,3,3.0,3.0,2.0
109,1928 Okeechobee Hurricane,Costa Rica,1,7,7,7.0,7.0,2.0
110,1928 Okeechobee Hurricane,Force,1,4,4,4.0,4.0,3.0
111,1928 Okeechobee Hurricane,Invasive species,2,4,10,7.0,7.0,3.0
112,1928 Okeechobee Hurricane,Irish Sea,1,3,3,3.0,3.0,2.0
113,1928 Okeechobee Hurricane,Nuclear weapon,1,3,3,3.0,3.0,2.0
114,1928 Okeechobee Hurricane,Pyramid,1,6,6,6.0,6.0,3.0
115,1973 oil crisis,Benito Mussolini,1,3,3,3.0,3.0,2.0
116,1973 oil crisis,Berkelium,2,4,6,5.0,5.0,3.0
117,1973 oil crisis,Bohemian Rhapsody,2,7,7,7.0,7.0,3.0
118,1973 oil crisis,Ivory-billed Woodpecker,1,6,6,6.0,6.0,4.0
119,1973 oil crisis,Sassanid Empire,1,5,5,5.0,5.0,2.0
120,1973 oil crisis,Tower of London,1,9,9,9.0,9.0,3.0
121,1980 eruption of Mount St. Helens,Adolf Hitler,1,4,4,4.0,4.0,3.0
122,1980 eruption of Mount St. Helens,Bamako,1,6,6,6.0,6.0,3.0
123,1980 eruption of Mount St. Helens,Buddha,1,6,6,6.0,6.0,3.0
124,1980 eruption of Mount St. Helens,Dubai,2,7,8,7.5,7.5,2.0
125,1980 eruption of Mount St. Helens,Eurasian Collared Dove,1,7,7,7.0,7.0,3.0
126,1980 eruption of Mount St. Helens,Glass,1,6,6,6.0,6.0,2.0
127,19th century,Antarctic krill,1,4,4,4.0,4.0,3.0
128,19th century,Battle of the Eastern Solomons,1,7,7,7.0,7.0,4.0
129,19th century,Bear,1,7,7,7.0,7.0,3.0
130,19th century,Claudius,1,8,8,8.0,8.0,2.0
131,19th century,Code of Hammurabi,1,7,7,7.0,7.0,2.0
132,19th century,Convention on the Rights of the Child,1,6,6,6.0,6.0,3.0
133,19th century,Lead,1,5,5,5.0,5.0,2.0
134,19th century,Lord Voldemort,2,6,13,9.5,9.5,3.0
135,19th century,Mikhail Gorbachev,1,4,4,4.0,4.0,2.0
136,19th century,Paul McCartney,1,8,8,8.0,8.0,3.0
137,19th century,Religion,1,2,2,2.0,2.0,1.0
138,19th century,Sgt. Pepper's Lonely Hearts Club Band,1,6,6,6.0,6.0,3.0
139,19th century,Terrorism,1,3,3,3.0,3.0,2.0
140,19th century,Volcano,4,3,8,5.0,4.5,2.0
141,1st century,Alphabet,1,8,8,8.0,8.0,3.0
142,1st century,East Africa,1,6,6,6.0,6.0,3.0
143,1st century,Flag of Belarus,1,8,8,8.0,8.0,3.0
144,1st century,Pac-Man,6,5,15,8.166666666666666,6.5,3.0
145,1st century,Phosphorus,2,5,10,7.5,7.5,3.0
146,1st century,Steam engine,3,3,7,5.0,5.0,2.0
147,1st century,Superconductivity,1,13,13,13.0,13.0,3.0
148,1st century BC,Buddha,3,5,10,7.333333333333333,7.0,2.0
149,1st century BC,Hydrogen,1,6,6,6.0,6.0,3.0
150,1st century BC,Ocean,1,5,5,5.0,5.0,3.0
151,1st century BC,Religious Society of Friends,1,11,11,11.0,11.0,3.0
152,1st century BC,Roentgenium,2,9,9,9.0,9.0,4.0
153,1st century BC,Spider,1,8,8,8.0,8.0,3.0
154,2-6-0,Canberra,2,9,10,9.5,9.5,3.0
155,2-6-0,Marshall Plan,1,6,6,6.0,6.0,3.0
156,2-8-0,James K. Polk,1,4,4,4.0,4.0,3.0
157,2-8-0,John F. Kennedy,1,4,4,4.0,4.0,2.0
158,2-8-0,List of Prime Ministers of the United Kingdom,1,6,6,6.0,6.0,3.0
159,2-8-0,Michael Jordan,1,4,4,4.0,4.0,3.0
160,2-8-0,Muhammad Ali,1,15,15,15.0,15.0,3.0
161,2003 Atlantic hurricane season,Cambodia,1,4,4,4.0,4.0,3.0
162,2003 Atlantic hurricane season,Gull,1,8,8,8.0,8.0,3.0
163,2003 Atlantic hurricane season,Thunderstorm,2,3,3,3.0,3.0,2.0
164,2003 Atlantic hurricane season,Vatican City,5,4,8,5.6,5.0,3.0
165,2004 Atlantic hurricane season,8th century,1,4,4,4.0,4.0,2.0
166,2004 Atlantic hurricane season,Art,1,10,10,10.0,10.0,3.0
167,2004 Atlantic hurricane season,Atom,2,5,7,6.0,6.0,3.0
168,2004 Atlantic hurricane season,Buckminster Fuller,1,10,10,10.0,10.0,4.0
169,2004 Atlantic hurricane season,Chromium,2,6,7,6.5,6.5,3.0
170,2004 Atlantic hurricane season,Great comet,1,9,9,9.0,9.0,5.0
171,2004 Atlantic hurricane season,Ice age,3,6,7,6.333333333333333,6.0,3.0
172,2004 Atlantic hurricane season,James II of England,2,5,8,6.5,6.5,3.0
173,2004 Indian Ocean earthquake,Argan,1,11,11,11.0,11.0,3.0
174,2004 Indian Ocean earthquake,"Columbus, Ohio",1,8,8,8.0,8.0,3.0
175,2004 Indian Ocean earthquake,Corundum,1,6,6,6.0,6.0,3.0
176,2004 Indian Ocean earthquake,Electric charge,2,6,19,12.5,12.5,2.0
177,2004 Indian Ocean earthquake,Irish Sea,1,5,5,5.0,5.0,2.0
178,2004 Indian Ocean earthquake,Ivory,1,9,9,9.0,9.0,3.0
179,2004 Indian Ocean earthquake,Leif Ericson,1,6,6,6.0,6.0,3.0
180,2004 Indian Ocean earthquake,Manchester United F.C.,1,8,8,8.0,8.0,2.0
181,2004 Indian Ocean earthquake,Martinique,1,6,6,6.0,6.0,2.0
182,2004 Indian Ocean earthquake,Motion (physics),1,5,5,5.0,5.0,2.0
183,2004 Indian Ocean earthquake,Tuna,1,3,3,3.0,3.0,2.0
184,2005 Atlantic hurricane season,Burundi,1,4,4,4.0,4.0,2.0
185,2005 Atlantic hurricane season,Hydrogen peroxide,1,5,5,5.0,5.0,3.0
186,2005 Atlantic hurricane season,International Court of Justice,1,8,8,8.0,8.0,2.0
187,2005 Atlantic hurricane season,Jazz,5,4,22,11.2,7.0,2.0
188,2005 Atlantic hurricane season,Liechtenstein,2,3,6,4.5,4.5,2.0
189,2005 Atlantic hurricane season,Lisbon,1,4,4,4.0,4.0,2.0
190,2005 Atlantic hurricane season,Spain,1,4,4,4.0,4.0,1.0
191,2005 Atlantic hurricane season,Sweden,1,5,5,5.0,5.0,2.0
192,2005 Atlantic hurricane season,William McKinley,3,4,6,4.666666666666667,4.0,2.0
193,2005 Hertfordshire Oil Storage Terminal fire,Franz Schubert,4,5,5,5.0,5.0,3.0
194,2005 Kashmir earthquake,Aircraft,1,7,7,7.0,7.0,3.0
195,2005 Kashmir earthquake,Analytical Marxism,1,5,5,5.0,5.0,4.0
196,2005 Kashmir earthquake,Canadian House of Commons,1,4,4,4.0,4.0,3.0
197,2005 Kashmir earthquake,Trafalgar Square,1,4,4,4.0,4.0,3.0
198,2005 Kashmir earthquake,Walrus,1,7,7,7.0,7.0,4.0
199,2005 Sumatra earthquake,A Christmas Carol,2,5,6,5.5,5.5,4.0
200,2005 Sumatra earthquake,Beaver,1,8,8,8.0,8.0,3.0
201,2005 Sumatra earthquake,Firearm,1,7,7,7.0,7.0,3.0
202,2005 Sumatra earthquake,Geometry,4,6,8,7.0,7.0,3.0
203,2005 Sumatra earthquake,Jersey Zoological Park,1,8,8,8.0,8.0,3.0
204,2005 Sumatra earthquake,Mark Twain,1,7,7,7.0,7.0,2.0
205,2005 Sumatra earthquake,Physics,2,5,6,5.5,5.5,2.0
206,2005 Sumatra earthquake,Portugal,1,3,3,3.0,3.0,2.0
207,20th century,Bolivia,1,3,3,3.0,3.0,2.0
208,20th century,Bran,1,17,17,17.0,17.0,3.0
209,20th century,Cameroon,1,5,5,5.0,5.0,2.0
210,20th century,Charles Darwin,1,3,3,3.0,3.0,2.0
211,20th century,Emacs,1,10,10,10.0,10.0,3.0
212,20th century,Federal Bureau of Investigation,1,3,3,3.0,3.0,2.0
213,20th century,Iguanodon,2,6,7,6.5,6.5,4.0
214,20th century,Parrot,8,4,10,6.875,6.0,3.0
215,20th century,Rainforest,1,5,5,5.0,5.0,2.0
216,20th century,Thor,1,9,9,9.0,9.0,3.0
217,20th century,Zeus,3,6,9,7.0,6.0,2.0
218,21st century,Australia,1,4,4,4.0,4.0,1.0
219,21st century,Baghdad,1,4,4,4.0,4.0,2.0
220,21st century,Comet Hale-Bopp,1,6,6,6.0,6.0,3.0
221,21st century,Common cold,1,6,6,6.0,6.0,3.0
222,21st century,Dog,5,10,19,14.2,13.0,2.0
223,21st century,Harry S. Truman,1,4,4,4.0,4.0,2.0
224,21st century,Libreville,1,5,5,5.0,5.0,2.0
225,21st century,Manchester,2,5,5,5.0,5.0,2.0
226,21st century,Red giant,1,5,5,5.0,5.0,3.0
227,21st century,River Thames,1,6,6,6.0,6.0,2.0
228,21st century,South Africa,1,4,4,4.0,4.0,1.0
229,21st century,Turin,1,3,3,3.0,3.0,2.0
230,2nd century,Alexander Graham Bell,1,8,8,8.0,8.0,2.0
231,2nd century,"Houston, Texas",2,4,14,9.0,9.0,3.0
232,2nd century,Magnet,2,5,10,7.5,7.5,3.0
233,2nd century,Pelé,1,13,13,13.0,13.0,3.0
234,2nd century,Pupil,1,6,6,6.0,6.0,3.0
235,2nd century,Technology,1,7,7,7.0,7.0,2.0
236,2nd century,World War II,1,3,3,3.0,3.0,2.0
237,3 Juno,Aluminium,1,9,9,9.0,9.0,2.0
238,3 Juno,Monarchy,1,5,5,5.0,5.0,3.0
239,3 Juno,Periodic table,1,4,4,4.0,4.0,3.0
240,3 Juno,Wellington,3,6,8,7.0,7.0,3.0
241,3rd century,Alice's Adventures in Wonderland,1,4,4,4.0,4.0,3.0
242,3rd century,Ben Jonson,1,8,8,8.0,8.0,3.0
243,3rd century,Colombia,1,5,5,5.0,5.0,2.0
244,3rd century,Swastika,1,4,4,4.0,4.0,3.0
245,3rd century,The Rime of the Ancient Mariner,1,11,11,11.0,11.0,3.0
246,4 Vesta,Augustus,1,4,4,4.0,4.0,2.0
247,4 Vesta,Computer and video games,1,5,5,5.0,5.0,4.0
248,4 Vesta,Elvis Presley,1,5,5,5.0,5.0,3.0
249,4 Vesta,History of South Africa in the apartheid era,1,7,7,7.0,7.0,3.0
250,4 Vesta,Hurricane Andrew,1,5,5,5.0,5.0,3.0
251,4 Vesta,Yugoslavia,1,4,4,4.0,4.0,2.0
252,4-2-0,17th century,1,4,4,4.0,4.0,3.0
253,4-2-0,Boolean logic,1,4,4,4.0,4.0,3.0
254,4-2-0,Game,2,9,20,14.5,14.5,4.0
255,4-2-0,Mongol Empire,2,5,5,5.0,5.0,3.0
256,4-2-0,Split infinitive,1,6,6,6.0,6.0,3.0
257,4-4-0,Adolf Hitler,1,5,5,5.0,5.0,3.0
258,4-4-0,Chicago,2,5,5,5.0,5.0,2.0
259,4-4-0,Eris (dwarf planet),1,7,7,7.0,7.0,4.0
260,4-4-0,Globe Theatre,1,6,6,6.0,6.0,4.0
261,4-4-0,John F. Kennedy assassination,1,6,6,6.0,6.0,4.0
262,4-4-0,Ludwig van Beethoven,1,5,5,5.0,5.0,3.0
263,4-4-0,Muhammad,2,4,5,4.5,4.5,3.0
264,4-4-0,NATO,1,3,3,3.0,3.0,2.0
265,4-4-0,The Origin of Species,1,9,9,9.0,9.0,4.0
266,4-6-0,Amazon Rainforest,1,6,6,6.0,6.0,3.0
267,4-6-0,Bird of prey,1,4,4,4.0,4.0,3.0
268,4-6-0,Cataract,1,9,9,9.0,9.0,4.0
269,4-6-0,Day,1,5,5,5.0,5.0,3.0
270,4-6-0,Dwight D. Eisenhower,1,4,4,4.0,4.0,3.0
271,4-6-0,Julius Caesar,1,6,6,6.0,6.0,3.0
272,4-6-0,List of areas in the National Park System of the United States,1,5,5,5.0,5.0,2.0
273,4-6-0,Silicon,1,7,7,7.0,7.0,3.0
274,47 Ursae Majoris,Barnacle,1,8,8,8.0,8.0,3.0
275,47 Ursae Majoris,Caspian Sea,2,4,7,5.5,5.5,3.0
276,47 Ursae Majoris,Edema,1,5,5,5.0,5.0,3.0
277,47 Ursae Majoris,Jehovah,1,6,6,6.0,6.0,3.0
278,47 Ursae Majoris,John Milton,1,6,6,6.0,6.0,3.0
279,47 Ursae Majoris,Oxbow lake,1,4,4,4.0,4.0,3.0
280,47 Ursae Majoris b,Extraterrestrial life,1,3,3,3.0,3.0,2.0
281,47 Ursae Majoris b,Kenya,4,5,7,6.25,6.5,3.0
282,47 Ursae Majoris b,Malcolm X,2,8,10,9.0,9.0,4.0
283,47 Ursae Majoris b,Sugarcane,2,5,13,9.0,9.0,3.0
284,47 Ursae Majoris b,Treaty of Versailles,3,5,10,7.666666666666667,8.0,3.0
285,47 Ursae Majoris c,Nintendo,1,6,6,6.0,6.0,3.0
286,47 Ursae Majoris c,Yeast,1,5,5,5.0,5.0,3.0
287,4th century,British Isles (terminology),1,6,6,6.0,6.0,4.0
288,4th century,Google,4,3,10,6.25,6.0,2.0
289,4th century,Lyme disease,1,6,6,6.0,6.0,3.0
290,4th century,Mathematics,1,5,5,5.0,5.0,2.0
291,4th century,Neutron,1,5,5,5.0,5.0,3.0
292,4th century,Nitrogen fixation,1,6,6,6.0,6.0,3.0
293,4th century,Tripoli,2,7,8,7.5,7.5,3.0
294,4th century,Upsilon Andromedae d,1,7,7,7.0,7.0,5.0
295,55 Cancri,Algeria,1,5,5,5.0,5.0,2.0
296,55 Cancri,Bahrain,1,5,5,5.0,5.0,3.0
297,55 Cancri,Bluegrass music,1,6,6,6.0,6.0,4.0
298,55 Cancri,Gas giant,1,2,2,2.0,2.0,1.0
299,55 Cancri,Mars,1,4,4,4.0,4.0,2.0
300,55 Cancri,Sickle-cell disease,2,17,25,21.0,21.0,4.0
301,55 Cancri b,Eyelid,1,8,8,8.0,8.0,3.0
302,55 Cancri c,African Great Lakes,3,5,5,5.0,5.0,4.0
303,55 Cancri c,Al Jazeera,1,9,9,9.0,9.0,4.0
304,55 Cancri c,Antwerp,1,9,9,9.0,9.0,3.0
305,55 Cancri c,Comet Hale-Bopp,2,5,8,6.5,6.5,3.0
306,55 Cancri c,HTTP cookie,1,10,10,10.0,10.0,3.0
307,55 Cancri c,Lake Tahoe,2,5,7,6.0,6.0,4.0
308,55 Cancri c,Niger,6,5,67,16.166666666666668,6.5,4.0
309,55 Cancri d,1928 Okeechobee Hurricane,1,7,7,7.0,7.0,4.0
310,55 Cancri d,Republic of the Congo,1,7,7,7.0,7.0,3.0
311,55 Cancri e,Eruption column,1,21,21,21.0,21.0,4.0
312,55 Cancri e,United States,1,3,3,3.0,3.0,2.0
313,5th century,Ant,3,5,16,9.666666666666666,8.0,3.0
314,5th century,Earth,1,3,3,3.0,3.0,2.0
315,5th century,Ernest Hemingway,1,6,6,6.0,6.0,3.0
316,5th century,God,1,4,4,4.0,4.0,2.0
317,5th century,Luminiferous aether,1,4,4,4.0,4.0,3.0
318,5th century,Nuclear weapon,1,3,3,3.0,3.0,2.0
319,5th century,Tobacco smoking,1,14,14,14.0,14.0,2.0
320,5th century,Tonga,1,5,5,5.0,5.0,3.0
321,5th century,United Arab Emirates,2,5,7,6.0,6.0,2.0
322,5th century,William Shakespeare,1,3,3,3.0,3.0,2.0
323,6-2-0,Agnosticism,1,6,6,6.0,6.0,3.0
324,6-2-0,Chicago Bears,1,6,6,6.0,6.0,3.0
325,6-2-0,List of rivers by length,1,3,3,3.0,3.0,2.0
326,6-2-0,Mary I of Scotland,2,7,8,7.5,7.5,3.0
327,6-2-0,"Miami, Florida",1,4,4,4.0,4.0,2.0
328,6-2-0,Sparrow,1,12,12,12.0,12.0,5.0
329,6-2-0,Windows Vista,1,5,5,5.0,5.0,4.0
330,6th century,Assyria,3,4,7,5.333333333333333,5.0,2.0
331,6th century,Electronics,1,6,6,6.0,6.0,2.0
332,6th century,Emotion,9,4,13,6.111111111111111,5.0,3.0
333,7th century,Euclid,2,4,6,5.0,5.0,3.0
334,7th century,Mahatma Gandhi,1,3,3,3.0,3.0,2.0
335,7th century,Radar,1,5,5,5.0,5.0,3.0
336,7th century,Silicon,1,8,8,8.0,8.0,3.0
337,7th century,Sun Yat-sen,1,3,3,3.0,3.0,2.0
338,8th century,11th century,1,4,4,4.0,4.0,1.0
339,8th century,Ecology,2,12,16,14.0,14.0,3.0
340,8th century,Republic of China,1,3,3,3.0,3.0,2.0
341,8th century,Shroud of Turin,1,5,5,5.0,5.0,3.0
342,90377 Sedna,Buffy the Vampire Slayer,1,12,12,12.0,12.0,4.0
343,90377 Sedna,Sirius,1,6,6,6.0,6.0,3.0
344,90377 Sedna,Spanish language,1,3,3,3.0,3.0,2.0
345,90377 Sedna,Statistics,1,5,5,5.0,5.0,3.0
346,9th century,11th century,1,2,2,2.0,2.0,1.0
347,9th century,8th century,2,2,2,2.0,2.0,1.0
348,9th century,Alexander Graham Bell,1,3,3,3.0,3.0,2.0
349,9th century,Computer,1,4,4,4.0,4.0,2.0
350,9th century,English language,2,5,6,5.5,5.5,2.0
351,9th century,Ivory,2,5,13,9.0,9.0,3.0
352,9th century,Ku Klux Klan,1,9,9,9.0,9.0,3.0
353,9th century,Optical microscope,1,7,7,7.0,7.0,4.0
354,9th century,Piano,2,6,13,9.5,9.5,2.0
355,9th century,Scottish mythology,2,20,32,26.0,26.0,3.0
356,9th century,Theatre,1,13,13,13.0,13.0,3.0
357,9th century,Van Halen,2,6,14,10.0,10.0,4.0
358,9th century,Vasco da Gama,1,7,7,7.0,7.0,2.0
359,A Christmas Carol,Agamemnon,1,3,3,3.0,3.0,2.0
360,A Christmas Carol,British Virgin Islands,1,4,4,4.0,4.0,2.0
361,A Christmas Carol,Bull shark,2,11,11,11.0,11.0,4.0
362,A Christmas Carol,Carbon,7,4,9,6.714285714285714,7.0,3.0
363,A Christmas Carol,Edward V of England,2,4,9,6.5,6.5,3.0
364,A Christmas Carol,Liberia,1,4,4,4.0,4.0,2.0
365,A Christmas Carol,Magnetism,1,4,4,4.0,4.0,3.0
366,A Christmas Carol,Papua New Guinea,2,3,9,6.0,6.0,2.0
367,A Christmas Carol,Phosphorus,1,7,7,7.0,7.0,3.0
368,A Christmas Carol,Poison gas in World War I,1,4,4,4.0,4.0,3.0
369,A Christmas Carol,Sermon on the Mount,3,5,12,8.0,7.0,3.0
370,A Christmas Carol,Walt Disney,1,4,4,4.0,4.0,3.0
371,A Tale of a Tub,First Transcontinental Railroad,1,4,4,4.0,4.0,3.0
372,A Tale of a Tub,France in the American Revolutionary War,1,6,6,6.0,6.0,4.0
373,A Tale of a Tub,Italian War of 1521,1,12,12,12.0,12.0,3.0
374,A Tale of a Tub,Liberal democracy,1,3,3,3.0,3.0,2.0
375,A Tale of a Tub,Milky Way,2,6,7,6.5,6.5,3.0
376,A Tale of a Tub,Oceania,1,6,6,6.0,6.0,2.0
377,A Tale of a Tub,Queen (band),1,11,11,11.0,11.0,3.0
378,A cappella,Attila the Hun,1,8,8,8.0,8.0,3.0
379,A cappella,Ebony,2,5,5,5.0,5.0,3.0
380,A cappella,Elementary algebra,2,7,8,7.5,7.5,4.0
381,A cappella,Jocelin,1,7,7,7.0,7.0,4.0
382,A cappella,Layla,1,7,7,7.0,7.0,4.0
383,A cappella,Liverpool F.C.,1,5,5,5.0,5.0,3.0
384,A cappella,Plains Zebra,3,6,18,12.0,12.0,5.0
385,A cappella,Republic of China,1,6,6,6.0,6.0,3.0
386,ABO blood group system,Azerbaijani people,2,5,5,5.0,5.0,3.0
387,ABO blood group system,Hinduism,1,7,7,7.0,7.0,2.0
388,ABO blood group system,Hoover Dam,1,6,6,6.0,6.0,4.0
389,ABO blood group system,Human,1,3,3,3.0,3.0,2.0
390,ABO blood group system,Mars Reconnaissance Orbiter,1,18,18,18.0,18.0,3.0
391,AIDS,Adolf Hitler,4,3,4,3.5,3.5,2.0
392,AIDS,Africa,3,2,2,2.0,2.0,1.0
393,AIDS,Cod,1,7,7,7.0,7.0,3.0
394,AIDS,Cold War,3,3,6,4.666666666666667,5.0,2.0
395,AIDS,Ethics,1,3,3,3.0,3.0,2.0
396,AIDS,Film,1,4,4,4.0,4.0,2.0
397,AIDS,Flamingo,5,6,7,6.4,6.0,3.0
398,AIDS,Germany,1,3,3,3.0,3.0,1.0
399,AIDS,Gulf of Mexico,1,3,3,3.0,3.0,2.0
400,AIDS,Jesus,17,4,12,5.411764705882353,5.0,3.0
401,AIDS,Maldives,1,6,6,6.0,6.0,2.0
402,AIDS,Napoleon I of France,2,5,8,6.5,6.5,2.0
403,AIDS,Palestinian territories,1,4,4,4.0,4.0,2.0
404,AIDS,Paprika,3,6,9,7.333333333333333,7.0,3.0
