,source,target,weight
0,1 Ceres,Asteroid,4
1,1 Ceres,Carl Friedrich Gauss,2
2,1 Ceres,Germany,11
3,1 Ceres,Moon,1
4,1 Ceres,Paris,1
5,1 Ceres,Roman mythology,23
6,1 Ceres,Solar System,2
7,1 Ceres,Star,1
8,1 Ceres,Venus,2
9,10th century,11th century,3
10,10th century,16th century,1
11,10th century,9th century,5
12,10th century,Beer,2
13,10th century,Byzantine Empire,1
14,10th century,Dark Ages,8
15,10th century,England,4
16,10th century,France,2
17,10th century,Great Moravia,1
18,10th century,Khazars,1
19,10th century,Monarchy,1
20,10th century,Scotland,2
21,10th century,Time,7
22,10th century,Vietnam,1
23,11th century,10th century,6
24,11th century,12th century,4
25,11th century,19th century,1
26,11th century,1st century,1
27,11th century,Civilization,1
28,11th century,Dark Ages,3
29,11th century,First Crusade,2
30,11th century,Macbeth of Scotland,1
31,11th century,Time,2
32,12th century,11th century,8
33,12th century,13th century,5
34,12th century,1st century,1
35,12th century,1st century BC,1
36,12th century,20th century,1
37,12th century,Domesday Book,1
38,12th century,England,5
39,12th century,France,3
40,12th century,Francis of Assisi,2
41,12th century,Hungary,1
42,12th century,Iceland,1
43,12th century,Mongol Empire,1
44,12th century,Second Crusade,1
45,12th century,Time,1
46,13th century,12th century,11
47,13th century,14th century,7
48,13th century,Byzantine Empire,1
49,13th century,China,3
50,13th century,Coal,1
51,13th century,Dante Alighieri,1
52,13th century,Europe,1
53,13th century,Genghis Khan,1
54,13th century,Iceland,1
55,13th century,Iran,1
56,13th century,Islam,1
57,13th century,Norse mythology,1
58,13th century,Stockholm,1
59,13th century,Thomas Aquinas,1
60,13th century,Time,9
61,13th century,Viking,1
62,14th century,13th century,12
63,14th century,15th century,3
64,14th century,Abacus,1
65,14th century,Aztec,1
66,14th century,Black Death,2
67,14th century,Buddha,2
68,14th century,China,2
69,14th century,Christianity,2
70,14th century,Dante Alighieri,1
71,14th century,Dark Ages,3
72,14th century,Edward III of England,2
73,14th century,England,7
74,14th century,Europe,6
75,14th century,Guild,1
76,14th century,Ibn Battuta,1
77,14th century,Islam,2
78,14th century,Italy,2
79,14th century,Niger,1
80,14th century,Ottoman Empire,1
81,14th century,Renaissance,4
82,14th century,Time,2
83,15th century,14th century,8
84,15th century,16th century,5
85,15th century,1st century,1
86,15th century,1st century BC,1
87,15th century,20th century,2
88,15th century,Art,3
89,15th century,Aztec,1
90,15th century,Battle of Grunwald,1
91,15th century,Beijing,2
92,15th century,Byzantine Empire,2
