,source,target,weight
93,15th century,Christopher Columbus,2
94,15th century,Dark Ages,3
95,15th century,English language,2
96,15th century,Europe,1
97,15th century,France,2
98,15th century,Henry V of England,2
99,15th century,Holy Roman Empire,2
100,15th century,India,1
101,15th century,Indian Ocean,1
102,15th century,Italy,1
103,15th century,Jew,1
104,15th century,Joan of Arc,1
105,15th century,Korea,1
106,15th century,Leonardo da Vinci,2
107,15th century,Maize,1
108,15th century,North America,3
109,15th century,Ottoman Empire,1
110,15th century,Renaissance,1
111,15th century,Richard III of England,1
112,15th century,Spain,2
113,15th century,Spanish Inquisition,1
114,15th century,Time,4
115,15th century,Zheng He,1
116,16 Cygni,Sun,1
117,16 Cygni Bb,Solar System,1
118,16 Cygni Bb,Water,1
119,16th century,10th century,1
120,16th century,11th century,1
121,16th century,15th century,6
122,16th century,17th century,9
123,16th century,20th century,2
124,16th century,5th century,1
125,16th century,Amazon River,1
126,16th century,Amsterdam,1
127,16th century,Christianity,1
128,16th century,Egypt,1
129,16th century,England,2
130,16th century,Galileo Galilei,1
131,16th century,Holy Roman Empire,2
132,16th century,Iran,1
133,16th century,Italy,1
134,16th century,Jacques Cartier,1
135,16th century,Leonardo da Vinci,6
136,16th century,Martin Luther,1
137,16th century,Mathematics,1
138,16th century,Middle Ages,1
139,16th century,Netherlands,1
140,16th century,Ottoman Empire,2
141,16th century,Spanish Armada,2
142,16th century,Time,3
143,16th century,William Shakespeare,1
144,16th century,William the Silent,1
145,1755 Lisbon earthquake,Europe,1
146,1755 Lisbon earthquake,North Africa,1
147,17th century,16th century,6
148,17th century,18th century,7
149,17th century,19th century,1
150,17th century,1st century BC,1
151,17th century,Bible,1
152,17th century,Charles II of England,2
153,17th century,Constitutional monarchy,1
154,17th century,Elizabeth I of England,2
155,17th century,England,2
156,17th century,Hungary,1
157,17th century,Isaac Newton,1
158,17th century,Italy,1
159,17th century,Japan,1
160,17th century,John Milton,1
161,17th century,Netherlands,1
162,17th century,North America,1
163,17th century,Ottoman Empire,1
164,17th century,Religious Society of Friends,1
165,17th century,Russia,1
166,17th century,Scotland,1
167,17th century,Spain,1
168,17th century,Steel,1
169,17th century,Tea,1
170,17th century,Time,3
171,17th century,William III of England,1
172,17th century,William Shakespeare,2
173,1896 Summer Olympics,Athletics (track and field),2
174,1896 Summer Olympics,Australia,2
175,1896 Summer Olympics,British Empire,1
176,1896 Summer Olympics,Europe,3
177,1896 Summer Olympics,Football (soccer),3
178,1896 Summer Olympics,Greece,2
179,1896 Summer Olympics,Greek War of Independence,1
180,1896 Summer Olympics,London,1
181,1896 Summer Olympics,Olympic Games,13
182,1896 Summer Olympics,Roman Catholic Church,1
183,1896 Summer Olympics,Roman Empire,1
184,1896 Summer Olympics,Sport,3
185,18th century,14th century,1
186,18th century,1755 Lisbon earthquake,1
187,18th century,17th century,10
188,18th century,19th century,13
189,18th century,8th century,1
190,18th century,California,1
191,18th century,Carolus Linnaeus,1
192,18th century,Catherine II of Russia,1
193,18th century,China,1
194,18th century,Currency,1
195,18th century,Delhi,1
196,18th century,Emanuel Swedenborg,1
197,18th century,Europe,1
198,18th century,France,4
199,18th century,French Revolution,1
200,18th century,Glorious Revolution,3
201,18th century,Industrial Revolution,1
202,18th century,Jean-Jacques Rousseau,1
203,18th century,Joseph Haydn,2
204,18th century,Louis XIV of France,2
205,18th century,Missouri River,1
206,18th century,Napoleon I of France,1
207,18th century,Netherlands,1
208,18th century,North America,3
209,18th century,Piano,1
210,18th century,Scotland,2
211,18th century,Smallpox,2
212,18th century,South Africa,2
213,18th century,South America,1
214,18th century,Thomas Gainsborough,1
215,18th century,Time,8
216,18th century,United States,1
217,18th century,William Hogarth,1
218,1928 Okeechobee Hurricane,Atlantic Ocean,1
219,1928 Okeechobee Hurricane,Hurricane Katrina,1
220,1928 Okeechobee Hurricane,Tropical cyclone,2
221,1928 Okeechobee Hurricane,United States,4
222,1928 Okeechobee Hurricane,Wikipedia Text of the GNU Free Documentation License,1
223,1973 oil crisis,Gold,1
224,1973 oil crisis,Richard Nixon,2
225,1973 oil crisis,Syria,1
226,1973 oil crisis,United Kingdom,1
227,1973 oil crisis,United States,2
228,1973 oil crisis,Yom Kippur War,1
229,1980 eruption of Mount St. Helens,Columbia River,1
230,1980 eruption of Mount St. Helens,Earth's atmosphere,1
231,1980 eruption of Mount St. Helens,Earthquake,1
232,1980 eruption of Mount St. Helens,Tree,1
233,19th century,18th century,9
234,19th century,1st century,1
235,19th century,20th century,30
236,19th century,2nd century,1
237,19th century,Aleksandr Pushkin,1
238,19th century,Alexander Graham Bell,1
239,19th century,American Civil War,4
240,19th century,Archbishop of Canterbury,2
241,19th century,Athens,2
242,19th century,Australia,1
243,19th century,Belgium,1
244,19th century,Bird,2
245,19th century,Bosnia and Herzegovina,2
246,19th century,British East India Company,3
247,19th century,British Empire,9
248,19th century,Brothers Grimm,1
249,19th century,Carl Friedrich Gauss,1
250,19th century,Charles Darwin,1
251,19th century,Charles Dickens,3
252,19th century,China,3
253,19th century,Drama,2
254,19th century,Edgar Allan Poe,1
255,19th century,Electronics,2
256,19th century,England,3
257,19th century,Estonia,2
258,19th century,Europe,2
259,19th century,Film,2
260,19th century,Finland,1
261,19th century,First Transcontinental Railroad,7
262,19th century,France,1
263,19th century,Fyodor Dostoevsky,1
264,19th century,Germany,1
265,19th century,Greek War of Independence,1
266,19th century,Henry James,1
267,19th century,Holy Roman Empire,2
268,19th century,Howland Island,1
269,19th century,Impressionism,1
270,19th century,Italy,2
271,19th century,James Clerk Maxwell,1
272,19th century,Jane Austen,2
273,19th century,Japan,1
274,19th century,Leo Tolstoy,2
275,19th century,Literature,11
276,19th century,Marie Curie,2
277,19th century,Mark Twain,2
278,19th century,Napoleon I of France,2
279,19th century,Napoleonic Wars,2
280,19th century,Natural selection,1
281,19th century,North Africa,1
282,19th century,North America,3
283,19th century,Oil refinery,2
284,19th century,Otto von Bismarck,1
285,19th century,Ottoman Empire,3
286,19th century,Paris,2
287,19th century,Physics,1
288,19th century,Postage stamp,1
289,19th century,Psychology,1
290,19th century,Qing Dynasty,1
291,19th century,Religion,2
292,19th century,Romanticism,5
293,19th century,Russia,2
294,19th century,Science,2
295,19th century,Scramble for Africa,1
296,19th century,Skiing,1
297,19th century,Slavery,1
298,19th century,Socialism,1
299,19th century,Spain,1
300,19th century,Telephone,2
301,19th century,The Great Exhibition,1
302,19th century,The Origin of Species,3
303,19th century,United States,33
304,19th century,Victor Hugo,1
305,19th century,Vincent van Gogh,2
306,19th century,Walt Whitman,1
307,19th century,World War I,5
308,19th century,Zulu,1
309,1st century,11th century,1
310,1st century,15th century,1
311,1st century,19th century,1
312,1st century,1st century BC,9
313,1st century,20th century,2
314,1st century,21st century,1
315,1st century,4th century,1
316,1st century,China,2
317,1st century,Jerusalem,1
318,1st century,Jesus,1
319,1st century,Pompeii,1
320,1st century,Roman Empire,5
321,1st century,Rome,2
322,1st century BC,17th century,1
323,1st century BC,18th century,1
324,1st century BC,1st century,4
325,1st century BC,20th century,1
326,1st century BC,21st century,1
327,1st century BC,4th century,1
328,1st century BC,Ancient Rome,3
329,1st century BC,Anno Domini,2
330,1st century BC,Cleopatra VII,1
331,1st century BC,Greece,6
332,1st century BC,Julius Caesar,1
333,1st century BC,Latin,1
334,1st century BC,Roman Empire,1
335,1st century BC,Rome,2
336,1st century BC,Virgil,2
337,2-6-0,4-4-0,4
338,2-6-0,England,1
339,2-6-0,United States,4
340,2-8-0,United States,1
341,2003 Atlantic hurricane season,2005 Atlantic hurricane season,3
342,2003 Atlantic hurricane season,Atlantic Ocean,1
343,2003 Atlantic hurricane season,Bermuda,1
344,2003 Atlantic hurricane season,Mexico,1
345,2003 Atlantic hurricane season,Portugal,1
346,2003 Atlantic hurricane season,Puerto Rico,1
347,2003 Atlantic hurricane season,Tropical Storm Ana (2003),1
348,2004 Atlantic hurricane season,2003 Atlantic hurricane season,6
349,2004 Atlantic hurricane season,2005 Atlantic hurricane season,2
350,2004 Atlantic hurricane season,Cayman Islands,1
351,2004 Atlantic hurricane season,Florida,1
352,2004 Atlantic hurricane season,Haiti,1
353,2004 Atlantic hurricane season,Hurricane Charley,1
354,2004 Atlantic hurricane season,Hurricane Katrina,1
355,2004 Atlantic hurricane season,Pacific Ocean,1
356,2004 Atlantic hurricane season,U.S. state,1
357,2004 Atlantic hurricane season,United States,1
358,2004 Indian Ocean earthquake,2005 Sumatra earthquake,1
359,2004 Indian Ocean earthquake,Africa,1
360,2004 Indian Ocean earthquake,Australia,1
361,2004 Indian Ocean earthquake,Great Barrier Reef,1
362,2004 Indian Ocean earthquake,India,3
363,2004 Indian Ocean earthquake,Kofi Annan,1
364,2004 Indian Ocean earthquake,Pacific Ocean,1
365,2004 Indian Ocean earthquake,Radar,1
366,2004 Indian Ocean earthquake,South Africa,1
367,2004 Indian Ocean earthquake,Sri Lanka,1
368,2004 Indian Ocean earthquake,Tsunami,2
369,2004 Indian Ocean earthquake,United Kingdom,1
370,2005 Atlantic hurricane season,2003 Atlantic hurricane season,4
371,2005 Atlantic hurricane season,2004 Atlantic hurricane season,10
372,2005 Atlantic hurricane season,Atlantic Ocean,1
373,2005 Atlantic hurricane season,El Niño-Southern Oscillation,1
374,2005 Atlantic hurricane season,Gulf of Mexico,1
375,2005 Atlantic hurricane season,Haiti,1
376,2005 Atlantic hurricane season,Hurricane Dennis,2
377,2005 Atlantic hurricane season,Hurricane Floyd,1
378,2005 Atlantic hurricane season,Hurricane Katrina,7
379,2005 Atlantic hurricane season,Tropical Storm Franklin (2005),1
380,2005 Atlantic hurricane season,Tropical Storm Harvey (2005),1
381,2005 Atlantic hurricane season,Tropical Storm Lee (2005),1
382,2005 Atlantic hurricane season,Tropical cyclone,3
383,2005 Hertfordshire Oil Storage Terminal fire,England,1
384,2005 Kashmir earthquake,Earthquake,1
385,2005 Kashmir earthquake,India,1
386,2005 Kashmir earthquake,United Nations,1
387,2005 Kashmir earthquake,Winter,1
388,2005 Sumatra earthquake,2004 Indian Ocean earthquake,1
389,2005 Sumatra earthquake,Earthquake,1
390,2005 Sumatra earthquake,John Howard,1
391,2005 Sumatra earthquake,Tsunami,1
392,20th century,19th century,13
393,20th century,1st century,1
394,20th century,1st century BC,1
395,20th century,21st century,12
396,20th century,8th century,1
397,20th century,AIDS,2
398,20th century,Africa,4
399,20th century,Alzheimer's disease,1
400,20th century,Amazon Basin,1
401,20th century,Asia,4
402,20th century,Atonality,1
403,20th century,Automobile,1
404,20th century,Birth control,2
405,20th century,Book,3
406,20th century,Cancer,1
407,20th century,Cold War,2
408,20th century,Colorado River,1
409,20th century,Computer,5
410,20th century,Cubism,2
411,20th century,Dance,1
412,20th century,Estonia,1
413,20th century,Europe,1
414,20th century,European Union,3
415,20th century,Expressionism,5
416,20th century,Fashion,1
417,20th century,Film,35
418,20th century,Hurricane Camille,1
419,20th century,Impressionism,1
420,20th century,Integrated circuit,1
421,20th century,Internet,3
422,20th century,Israel,1
423,20th century,Italy,1
424,20th century,Jazz,4
425,20th century,Jet engine,8
426,20th century,Landscape,1
427,20th century,Mass media,23
428,20th century,Music,9
429,20th century,Music of the Bahamas,1
430,20th century,New York City,4
431,20th century,Nitrogen,3
432,20th century,Nuclear weapon,2
433,20th century,Ottoman Empire,1
434,20th century,Paris,1
435,20th century,Peru,1
436,20th century,Petroleum,1
437,20th century,Philippines,1
438,20th century,Physics,3
439,20th century,Poetry,2
440,20th century,Quantum mechanics,2
441,20th century,Radio,1
442,20th century,Russia,3
443,20th century,Russian Revolution of 1917,1
444,20th century,Schizophrenia,1
445,20th century,Scots language,1
446,20th century,Slovenia,1
447,20th century,South Africa,1
448,20th century,Soviet Union,1
449,20th century,Sport,4
450,20th century,Steel,1
451,20th century,Technology,30
452,20th century,Telephone,1
453,20th century,Television,12
454,20th century,United States,31
455,20th century,Vietnam War,1
456,20th century,Vitamin,4
457,20th century,War,1
458,20th century,World War I,3
459,20th century,World War II,13
460,21st century,20th century,2
461,21st century,Africa,1
462,21st century,Blade Runner,1
463,21st century,Cinema of the United States,2
464,21st century,Doctor Who,2
465,21st century,Education,2
466,21st century,Film,3
467,21st century,Harry Potter,3
468,21st century,Hurricane Katrina,1
469,21st century,Indonesia,2
470,21st century,International Space Station,1
471,21st century,Internet,1
472,21st century,Jaws (film),2
473,21st century,King Kong (2005 film),1
474,21st century,Lance Armstrong,1
475,21st century,London,4
476,21st century,Mars,1
477,21st century,Mars Exploration Rover,4
478,21st century,Star Trek  Deep Space Nine,1
479,21st century,Star Wars,1
480,21st century,Technology,4
481,21st century,The Lord of the Rings film trilogy,2
482,21st century,United States,5
483,2nd century,12th century,1
484,2nd century,18th century,1
485,2nd century,19th century,1
486,2nd century,1st century,4
487,2nd century,1st century BC,1
488,2nd century,20th century,1
489,2nd century,Anno Domini,2
490,2nd century,Hadrian's Wall,1
491,2nd century,Ptolemy,2
492,2nd century,Star,1
493,3 Juno,Asteroid,4
494,3 Juno,Germany,6
495,3 Juno,Mars,1
496,3rd century,16th century,1
497,3rd century,1st century,2
498,3rd century,1st century BC,1
499,3rd century,2nd century,5
500,3rd century,Citizenship,1
501,3rd century,Maize,1
502,3rd century,North America,2
503,3rd century,Roman Empire,1
504,4 Vesta,Asteroid,2
505,4 Vesta,Carl Friedrich Gauss,1
506,4 Vesta,Crust (geology),1
507,4 Vesta,Earth,2
508,4 Vesta,Germany,3
509,4 Vesta,Magma,1
510,4 Vesta,Roman mythology,1
511,4 Vesta,Solar System,1
512,4 Vesta,Sun,1
513,4-2-0,Robert Stephenson,1
514,4-2-0,United States,4
515,4-4-0,2-6-0,2
516,4-4-0,Europe,1
517,4-4-0,Great Britain,3
518,4-4-0,North America,9
519,4-6-0,United States,4
520,47 Ursae Majoris,Day,1
521,47 Ursae Majoris b,Day,1
522,47 Ursae Majoris c,Sun,2
523,4th century,20th century,1
524,4th century,21st century,1
525,4th century,3rd century,5
526,4th century,5th century,3
527,4th century,Armenia,1
528,4th century,Augustine of Hippo,2
529,4th century,Christian monasticism,2
530,4th century,History of Anglo-Saxon England,1
531,4th century,Roman Empire,1
532,55 Cancri,Earth,2
533,55 Cancri,Hubble Space Telescope,1
534,55 Cancri,Jupiter,1
535,55 Cancri,Star,1
536,55 Cancri b,Cloud,1
537,55 Cancri b,Jupiter,1
538,55 Cancri c,Hubble Space Telescope,1
539,55 Cancri d,Jupiter,1
540,55 Cancri e,Earth,1
541,55 Cancri e,Tide,1
542,5th century,17th century,1
543,5th century,19th century,1
544,5th century,1st century,1
545,5th century,1st century BC,2
546,5th century,20th century,1
547,5th century,4th century,6
548,5th century,6th century,4
549,5th century,Africa,1
550,5th century,Ancient Rome,2
551,5th century,Augustine of Hippo,1
552,5th century,Buddhism,1
553,5th century,China,1
554,5th century,England,1
555,5th century,Halloween,1
556,5th century,History of Anglo-Saxon England,1
557,5th century,Ireland,1
558,5th century,Middle Ages,1
559,5th century,Roman Empire,3
560,5th century,Rome,2
561,6-2-0,4-2-0,1
562,6-2-0,England,2
563,6-2-0,United States,2
564,6th century,20th century,1
565,6th century,4th century,1
566,6th century,5th century,5
567,6th century,7th century,3
568,6th century,Anno Domini,3
569,6th century,Black Death,1
570,6th century,Church of England,1
571,6th century,Dark Ages,1
572,6th century,Ireland,2
573,6th century,Scotland,1
574,6th century,Wessex,1
575,7th century,1st century,3
576,7th century,20th century,1
577,7th century,6th century,4
578,7th century,8th century,2
579,7th century,Abbot,1
580,7th century,Anno Domini,1
581,7th century,Christianity,1
582,7th century,England,2
583,7th century,English poetry,1
584,7th century,Library of Alexandria,1
585,8th century,10th century,1
586,8th century,18th century,1
587,8th century,19th century,1
588,8th century,20th century,1
589,8th century,7th century,5
590,8th century,9th century,2
591,8th century,England,2
592,8th century,Franks,1
593,8th century,Iron,1
594,8th century,Library,1
595,8th century,Maya civilization,2
596,8th century,Scotland,1
597,8th century,Viking,1
598,90377 Sedna,Chile,1
599,90377 Sedna,Pluto,1
600,90377 Sedna,Spain,1
601,90377 Sedna,United States,1
602,9th century,10th century,1
603,9th century,5th century,1
604,9th century,8th century,7
605,9th century,Byzantine Empire,1
606,9th century,Charlemagne,2
607,9th century,Danube,1
608,9th century,Dark Ages,4
609,9th century,Gunpowder,1
610,9th century,Norway,3
611,9th century,Roman Catholic Church,2
612,9th century,Rome,1
613,9th century,Time,1
614,9th century,Viking,2
615,9th century,Vulgar Latin,1
616,9th century,Western Roman Empire,1
617,A Christmas Carol,Looney Tunes,2
618,A Christmas Carol,Poverty,2
619,A Christmas Carol,Radio,1
620,A Christmas Carol,Scrooge McDuck,1
621,A Christmas Carol,Television,1
622,A Christmas Carol,United Kingdom,1
623,A Tale of a Tub,Christianity,2
624,A Tale of a Tub,Church of England,1
625,A Tale of a Tub,Great Britain,1
626,A Tale of a Tub,Medicine,1
627,A cappella,Gregorian chant,1
628,A cappella,Music,1
629,A cappella,Renaissance music,1
630,A cappella,The Beatles,2
631,ABO blood group system,Europe,1
632,AIDS,20th century,1
633,AIDS,Africa,6
634,AIDS,Bacteria,1
635,AIDS,Bill Gates,1
636,AIDS,Brain,2
637,AIDS,Cameroon,1
638,AIDS,Cancer,6
639,AIDS,DNA,2
640,AIDS,Europe,1
641,AIDS,France,3
642,AIDS,Fungus,3
643,AIDS,Gabon,1
644,AIDS,Genetics,2
645,AIDS,Germany,1
646,AIDS,HIV,11
647,AIDS,Human,10
648,AIDS,India,1
649,AIDS,International Red Cross and Red Crescent Movement,2
650,AIDS,Italy,1
651,AIDS,Malaria,3
652,AIDS,People's Republic of China,1
653,AIDS,Sub-Saharan Africa,8
654,AIDS,Tuberculosis,3
655,AIDS,United States,3
656,AIDS,Virus,6
657,AIDS,World Health Organization,10
658,AK-47,Chromium,2
659,AK-47,Cold War,2
660,AK-47,Germany,2
661,AK-47,People's Republic of China,1
662,AK-47,Russia,1
663,AK-47,Soviet Union,1
664,AK-47,United Kingdom,1
665,ALCO FA,Canada,1
666,ALCO FA,North America,1
667,ASCII,AT&T,4
668,ASCII,Computer,9
669,ASCII,Latin alphabet,1
670,ASCII,Markup language,4
671,ASCII,Microsoft Windows,6
672,ASCII,Perl,3
673,AT&T,ASCII,2
674,AT&T,BBC,1
675,AT&T,"Dallas, Texas",2
676,AT&T,Industry,1
677,AT&T,Telephone,1
678,AT&T,Television,1
679,AT&T,United Kingdom,2
680,AT&T,United States,4
681,Aachen,Chinese language,1
682,Aachen,Flanders,1
683,Aachen,World War II,1
684,Aardvark,Africa,1
685,Aardvark,Ant,1
686,Aardvark,Elephant shrew,1
687,Aardvark,Europe,2
688,Aardvark,Mammal,3
689,Aarhus,Humanities,1
690,Abacus,Africa,1
691,Abacus,Arithmetic,2
692,Abacus,China,5
693,Abacus,Computer,2
694,Abacus,Japan,2
695,Abacus,Latin,1
696,Abacus,Mesopotamia,3
697,Abacus,Roman Empire,2
698,Abadan,20th century,1
699,Abadan,Iran,1
700,Abadan,Persian Gulf,1
701,Abbasid,Aristotle,1
702,Abbasid,Baghdad,2
703,Abbasid,Damascus,1
704,Abbasid,Iran,1
705,Abbasid,Persian Empire,2
706,Abbasid,Spain,2
707,Abbey,Christianity,2
708,Abbey,England,4
709,Abbey,Paul of Tarsus,1
710,Abbey,Thomas Aquinas,1
711,Abbey Theatre,North America,1
712,Abbot,7th century,1
713,Abbot,Christian monasticism,1
714,Abbot,Christianity,1
715,Abel Tasman,Australia,1
716,Abel Tasman,James Cook,1
717,Abel Tasman,Netherlands,2
718,Abel Tasman,South America,1
719,Aberdeen,Anglicanism,1
720,Aberdeen,Bahá'í Faith,1
721,Aberdeen,English language,1
722,Aberdeen,Islam,1
723,Aberdeen,London,1
724,Aberdeen,Park,1
725,Aberdeen,Petroleum,1
726,Aberdeen,Scotland,3
727,Aberration of light,Earth,4
728,Aberration of light,John Flamsteed,2
729,Aberystwyth,United Kingdom,3
730,Aberystwyth,Wales,3
731,Abhidhamma Pitaka,Buddha,1
732,Abhidhamma Pitaka,Buddhism,1
733,Abhidhamma Pitaka,Sanskrit,3
734,Abidjan,Capital,1
735,Abidjan,France,1
736,Abkhazia,Black Sea,3
737,Abkhazia,Christianity,1
738,Able Archer 83,Elizabeth II of the United Kingdom,1
739,Able Archer 83,United States,1
740,Abraham Lincoln,Aircraft carrier,1
741,Abraham Lincoln,American Civil War,9
742,Abraham Lincoln,Battle of Gettysburg,1
743,Abraham Lincoln,Bible,3
744,Abraham Lincoln,First Transcontinental Railroad,2
745,Abraham Lincoln,Gettysburg Address,2
746,Abraham Lincoln,History of slavery,1
747,Abraham Lincoln,London,1
748,Abraham Lincoln,Mexico,1
749,Abraham Lincoln,Minnesota,1
750,Abraham Lincoln,Mississippi River,2
751,Abraham Lincoln,President of the United States,12
752,Abraham Lincoln,Ronald Reagan,1
753,Abraham Lincoln,United States,1
754,Abraham Lincoln,United States Constitution,3
755,Abraham Lincoln,United States House of Representatives,1
756,Abraham Lincoln,"Washington, D.C.",1
757,Abraham Lincoln,William Shakespeare,1
758,Abraham Lincoln,Zachary Taylor,1
759,Absinthe,Copper,1
760,Absinthe,Ernest Hemingway,1
761,Absinthe,Ethanol,1
762,Absinthe,Fennel,1
763,Absinthe,France,1
764,Absinthe,Nutmeg,1
765,Absinthe,Star anise,1
766,Absinthe,Sugar,1
767,Absinthe,United States,2
768,Absolute zero,Albert Einstein,1
769,Absolute zero,Carbon,2
770,Absolute zero,Diamond,1
771,Absolute zero,Empiricism,1
772,Absolute zero,Galileo Galilei,1
773,Absolute zero,Quantum mechanics,1
774,Absolute zero,Symmetry,1
775,Absolute zero,Thermodynamic temperature,1
776,Abstract art,20th century,5
777,Abstract art,Art,4
778,Abstract art,Constructivism (art),2
779,Abstract art,Cubism,1
780,Abu Dhabi,Arabic language,1
781,Abu Dhabi,Egypt,1
782,Abu Dhabi,English language,1
783,Abu Dhabi,Persian Gulf,1
784,Abu Dhabi,Petroleum,1
785,Abu Dhabi,United Arab Emirates,1
786,Abu Dhabi,United Kingdom,1
787,Abuja,Brazil,2
788,Abuja,Time zone,1
789,Acceleration,Albert Einstein,6
790,Acceleration,Light,1
791,Acceleration,Physics,7
792,Acceleration,Sea,1
793,Acceleration,Spacecraft propulsion,1
794,Acceleration,Time,5
795,Accountancy,Ancient Greece,1
796,Accountancy,Economics,3
797,Accountancy,English language,2
798,Accountancy,Internet,2
799,Accountancy,Mesopotamia,1
800,Accountancy,Wikipedia Text of the GNU Free Documentation License,1
801,Accra,Africa,1
802,Accra,Great Britain,1
803,Acetic acid,Corrosion,2
804,Acetic acid,Ethanol,4
805,Acetic acid,Food,2
806,Acetic acid,Formic acid,3
807,Acetic acid,German language,1
808,Acetic acid,Iron(III) chloride,1
809,Acetic acid,Metal,1
810,Acetic acid,United States,1
811,Acetone,Bacteria,2
812,Acetone,Ethanol,4
813,Acetone,Israel,1
814,Acetone,Sulfuric acid,1
815,Achilles,Apollo,1
816,Achilles,Black Sea,1
817,Achilles,Danube,1
818,Achilles,Ethiopia,7
819,Achilles,Greece,1
820,Achilles,Greek mythology,9
821,Achilles,Homer,2
822,Achilles,Odysseus,1
823,Achilles,Odyssey,1
824,Achilles,Romanticism,1
825,Achilles,Trojan War,2
826,Achilles,William Shakespeare,3
827,Achilles,World War II,2
828,Achilles,Zeus,3
829,Achilles tendon,Achilles,14
830,Achilles tendon,Latin,6
831,Acid rain,Biology,1
832,Acid rain,Cloud,3
833,Acid rain,Earth,1
834,Acid rain,Earth's atmosphere,1
835,Acid rain,People's Republic of China,1
836,Acid rain,Pollution,1
837,Acid rain,Rain,4
838,Acid rain,River,1
839,Acid rain,Russia,1
840,Acid rain,Sulfuric acid,2
841,Acorn Computers,Computer,1
842,Acorn Computers,Employment,1
843,Acorn Computers,Floppy disk,1
844,Acorn Computers,United Kingdom,1
845,Acorn Computers,ZX Spectrum,1
846,Actinium,Phase (matter),1
847,Actinium,Wikipedia Text of the GNU Free Documentation License,1
848,Action potential,Animal,1
849,Action potential,Capacitance,5
850,Action potential,Cell (biology),1
851,Action potential,Chemical synapse,2
852,Action potential,Electrical resistance,3
853,Action potential,Eye,1
854,Action potential,Giraffe,2
855,Action potential,Multiple sclerosis,1
856,Action potential,Sodium,1
857,Actor,Arnold Schwarzenegger,1
858,Actor,Charlie Chaplin,1
859,Actor,Drama,16
860,Actor,Elvis Presley,1
861,Actor,Film,68
862,Actor,Greece,4
863,Actor,Japan,5
864,Actor,Latin,8
865,Actor,Middle Ages,9
866,Actor,Natalie Portman,1
867,Actor,Opera,2
868,Actor,Sean Connery,1
869,Actor,Silent film,1
870,Actor,Television,16
871,Actor,The Marriage of Figaro,1
872,Actor,The Simpsons,37
873,Actor,Theatre,9
874,Actor,William Shakespeare,11
875,Acts of Union 1707,England,4
876,Acts of Union 1707,House of Lords,2
877,Acts of Union 1707,Laws in Wales Acts 1535–1542,1
878,Acts of Union 1707,Scotland,1
879,Acts of Union 1707,United Kingdom,10
880,Adam Smith,Economics,4
881,Adam Smith,Europe,1
882,Adam Smith,Liberal democracy,1
883,Adam Smith,Political economy,1
884,Adam Smith,Scotland,1
885,Adam Smith,Supply and demand,1
886,Addis Ababa,African Union,1
887,Addis Ababa,Djibouti,1
888,Addis Ababa,Ethiopia,1
889,Addis Ababa,Water,1
