node,in_degree,out_degree,in_degree_centrality,out_degree_centrality,degree_centrality,pagerank,betweenness_centrality,closeness_centrality
1 Ceres,5,9,0.0012437810945273632,0.0022388059701492534,0.0034825870646766166,0.00010022561039188386,0.00012814180796562674,0.31511179801191286
Asteroid,28,19,0.006965174129353233,0.00472636815920398,0.011691542288557214,0.0004247256795862251,0.0010510067567535764,0.3255658656505539
Carl Friedrich Gauss,13,11,0.003233830845771144,0.0027363184079601988,0.0059701492537313425,0.00017906095924734284,0.0005334023742294372,0.32907984178965105
Germany,192,108,0.04776119402985074,0.026865671641791045,0.07462686567164178,0.004295566514765689,0.021649401290836215,0.44206331375771946
Moon,46,28,0.011442786069651741,0.006965174129353233,0.018407960199004973,0.001013118026244936,0.0028353405944826055,0.36686341873803574
Paris,52,45,0.012935323383084577,0.011194029850746268,0.024129353233830843,0.0011050269346989325,0.003729798050131471,0.3672344648584953
Roman mythology,20,13,0.004975124378109453,0.003233830845771144,0.008208955223880597,0.0005771907052855788,0.0001973407313852196,0.3142687890314734
Solar System,37,40,0.009203980099502487,0.009950248756218905,0.019154228855721392,0.0010668473590048977,0.002620329237458742,0.3273536627982129
Star,37,39,0.009203980099502487,0.009701492537313432,0.01890547263681592,0.0008465595078615025,0.0033670598428246212,0.32199629472758745
Venus,13,13,0.003233830845771144,0.003233830845771144,0.006467661691542288,0.0001511589731867542,0.000292688511556505,0.3183772052451969
10th century,17,14,0.004228855721393035,0.0034825870646766166,0.007711442786069651,0.0004354432082435098,0.0006723726794544321,0.33236598483822877
11th century,9,9,0.0022388059701492534,0.0022388059701492534,0.004477611940298507,0.0002302249442082601,5.087741551394604e-05,0.30484216453984087
16th century,25,26,0.006218905472636815,0.006467661691542288,0.012686567164179104,0.0005805863362883499,0.0010417840369394723,0.3376483252853999
9th century,13,15,0.003233830845771144,0.0037313432835820895,0.006965174129353233,0.0002629597996975073,0.0002101973639762692,0.3264973465054357
Beer,26,31,0.006467661691542288,0.007711442786069651,0.01417910447761194,0.00041949477548917214,0.0018978610410359696,0.3667960363487001
Byzantine Empire,33,34,0.008208955223880597,0.00845771144278607,0.016666666666666666,0.0007293671771145287,0.0014637379670445984,0.357985304275432
Dark Ages,22,25,0.0054726368159203976,0.006218905472636815,0.011691542288557214,0.00090833531747997,0.0005775218310749722,0.34416562169762993
England,388,175,0.09651741293532337,0.04353233830845771,0.14004975124378108,0.013012078292094205,0.053816257521676576,0.4406003353338108
France,267,89,0.06641791044776119,0.022139303482587063,0.08855721393034825,0.006123794603635172,0.026444698862381953,0.45381684351789514
Great Moravia,1,3,0.0002487562189054726,0.0007462686567164178,0.0009950248756218905,4.69529437920612e-05,7.310977758892432e-05,0.2492693028646942
Khazars,7,8,0.0017412935323383083,0.001990049751243781,0.0037313432835820895,0.00011807861974501258,4.738866619100668e-05,0.2916636512195849
Monarchy,27,21,0.006716417910447761,0.005223880597014925,0.011940298507462685,0.00040835860881822847,0.0007324375594539538,0.3406141940816131
Scotland,106,83,0.0263681592039801,0.02064676616915423,0.04701492537313433,0.0029007195445990485,0.010908683492297622,0.3935016787981276
Time,31,33,0.007711442786069651,0.008208955223880597,0.015920398009950248,0.0007912360116435887,0.0012800680540739377,0.3314557709378419
Vietnam,21,15,0.005223880597014925,0.0037313432835820895,0.008955223880597014,0.00026204332400495063,0.0006587074518286416,0.33776254036372055
